ID,Height.cm,CircumferenceHead.com,Sex,Number.Siblings,Handedness,Dominant.Foot,Dominant.Eye,Year
1,160,51,F,2,R,R,R,2013
2,171,56.5,F,3,L,R,R,2013
3,163,55,F,0,R,L,R,2013
4,165,55,F,0,R,R,L,2013
5,173,54,M,4,L,R,L,2013
6,158,55,F,1,R,R,L,2013
7,170,59.5,F,2,R,L,L,2013
8,160,54.5,F,2,R,R,R,2013
9,165,57,F,2,R,R,R,2013
10,177.8,60.96,M,4,R,R,R,2013
11,180,56,M,3,R,R,R,2013
12,170,60,M,1,R,R,R,2013
13,178,58,M,3,R,R,R,2013
14,164,58,F,2,R,R,R,2013
15,175,57,M,1,R,R,L,2013
16,165,58,F,3,R,R,R,2013
17,188,61,M,2,R,R,R,2013
18,174,58,M,3,R,R,R,2013
19,155,56,F,4,R,R,R,2013
20,165,59,F,1,R,R,R,2013
21,150,54,F,1,R,R,R,2014
22,168,54.5,F,2,R,R,L,2014
23,162,58,F,1,R,R,L,2014
24,162,54,F,2,R,R,R,2014
25,162,54,F,2,R,R,R,2014
26,168,55,F,2,R,R,R,2014
27,161,56,F,1,R,R,R,2014
28,155,57,F,1,R,R,R,2014
29,167,54,F,2,R,R,R,2014
30,188,56,M,3,L,R,L,2014
31,185.4,60,M,1,R,L,L,2015
32,175,59,M,1,R,R,L,2015
33,162.5,59,F,2,R,R,L,2015
34,165,55,F,2,R,R,R,2015
35,169,56.8,M,1,R,R,L,2015
36,167.6,58,F,1,R,R,R,2015
37,185,61,M,4,R,R,R,2015
38,154.9,56,F,4,R,R,R,2015
39,165.6,54,F,2,R,R,R,2015
40,180.34,55.5,M,0,R,R,R,2015
41,185.4,60,M,5,R,R,R,2015
42,190,59,M,3,R,R,L,2015
43,172.7,56,M,1,R,R,R,2015
44,157,53,F,3,R,L,L,2015
45,170.2,56,F,3,L,R,L,2015
46,162.6,59,F,1,R,R,R,2015
47,165,58,F,2,R,R,R,2015
48,172.7,58.5,M,3,R,R,R,2015
49,186,57,M,0,R,R,R,2015
50,158.5,55,F,2,R,R,R,2015
51,156.2,56,F,0,R,R,R,2015
52,182.9,56,M,6,L,L,R,2015
53,170.67,58,M,2,R,R,L,2015
54,156,58,F,2,R,L,L,2015
55,167.6,55,F,2,L,R,L,2015
56,165,56,F,3,R,R,R,2015
57,179,56,M,2,R,R,R,2015
58,185.42,60,M,2,R,R,L,2015
59,185.42,59,M,2,R,R,R,2015
60,170,53,F,0,R,R,R,2016
61,170.2,56,F,2,R,R,R,2016
62,180,58,M,2,R,R,L,2016
63,167,55,M,3,R,R,R,2016
64,181,57,M,1,R,R,L,2016
65,184,57,M,1,R,L,R,2016
66,163,57,F,2,R,R,L,2016
67,185.4,59,M,4,R,R,R,2016
68,162.6,56,F,0,R,R,R,2016
69,170,54,F,1,R,R,L,2016
70,162.5,55.5,F,2,R,R,R,2016
71,162,58,M,2,R,R,L,2016
72,183,57.5,M,2,R,R,R,2016
73,152,56,F,2,R,R,R,2016
74,160,58,F,2,R,R,L,2016
75,160,57.5,F,2,R,R,R,2016
76,162,56.5,F,1,R,R,R,2016
77,180.3,55,M,1,R,R,R,2016
78,157.5,58,F,1,R,R,R,2016
79,168,56,M,2,R,R,R,2016
80,175,61,M,2,R,R,R,2016
81,185.9,56,M,3,L,R,R,2016
82,160,56,F,1,R,R,R,2016
83,152.4,55,F,0,R,R,L,2017
84,154.9,56,F,2,R,R,R,2017
85,167.64,57,F,3,R,R,L,2017
86,172.72,56,F,2,R,R,R,2017
87,173,58,F,1,R,R,L,2017
88,181,58,M,3,R,R,R,2017
89,198.12,57.15,F,4,R,R,R,2017
90,152.4,55,F,2,R,R,R,2017
91,160.02,53.34,F,3,R,L,L,2017
92,165.1,56,F,1,R,R,R,2017
93,155,57.15,F,2,R,R,L,2017
94,180.34,57,M,3,R,R,R,2017
95,165,59,F,1,R,R,R,2017
96,168,53,M,1,R,R,R,2017
97,160,55,F,3,R,R,R,2017
98,150,57,F,1,R,R,R,2017
99,167.5,56,F,3,L,R,L,2017
100,174,56,M,1,R,R,R,2017
101,173,58,M,3,R,R,R,2017
102,165,58,F,2,R,L,L,2017
103,175.26,56,M,4,R,R,R,2017
104,172,55,F,2,R,R,R,2017
105,160,55,F,3,R,R,R,2017
106,154,53,F,1,R,R,L,2017
107,160,56,F,1,R,R,L,2017
108,162.56,55,F,2,R,R,L,2017
109,165,58,F,1,R,R,R,2017
110,173,57,F,1,R,R,R,2017
111,175,61,M,1,R,R,L,2017
112,198.12,60,M,1,R,L,R,2017
113,188,,M,3,R,R,L,2017
114,162.56,57,F,1,R,R,R,2017
115,155.448,,M,1,R,R,R,2017
116,185,58,M,3,R,R,R,2017
117,180,58,M,3,R,R,L,2017
118,160.02,56,F,3,R,R,L,2017
119,173.736,,F,3,R,R,R,2017
120,171.45,55.5,F,3,R,R,L,2017
121,154,56,F,1,R,R,L,2017
122,185.42,59.9,M,0,R,R,R,2017
123,162.56,55,F,2,R,R,R,2017
124,180,58,M,3,R,R,R,2017
125,175.26,58,M,1,R,R,R,2017
126,177.8,56,M,2,R,R,L,2017
127,180,57,M,1,R,R,R,2017
128,160,54.5,F,0,L,R,L,2017
129,180.34,58,M,1,L,R,R,2017
130,170.18,56.5,F,2,R,R,R,2017
131,173.73,57,M,3,R,R,L,2017
132,175,58,M,1,R,R,R,2018
133,167,59,F,2,R,R,R,2018
134,162.56,53,F,1,R,R,R,2018
135,180,55,M,5,R,R,R,2018
136,180.34,59.5,M,1,R,R,R,2018
137,165.2,55,M,0,R,R,R,2018
138,165,56,M,2,R,R,R,2018
139,160,54.6,F,2,R,R,L,2018
140,169,57,F,2,R,R,L,2018
141,170.18,56,F,3,L,R,L,2018
142,160.02,58,F,2,R,R,R,2018
143,177,59,M,2,R,R,L,2018
144,179,58,M,7,R,R,R,2018
145,172.72,60,M,0,R,R,L,2018
146,175.3,60,F,0,R,R,R,2018
147,172.72,58,M,0,R,R,L,2018
148,165,56.134,M,5,R,R,L,2018
149,134.5,55,F,3,R,R,R,2018
150,170.18,57,F,1,R,R,L,2018
151,150,53,F,0,R,R,R,2018
152,157.48,55.5,F,3,R,R,L,2018
153,180,57,M,8,R,R,R,2018
154,175.99,54.86,M,5,R,R,R,2018
