Date,Year,Year-2,Month,Avg-Annual-PDSI,9-yr-Annual-PDSI,Monthly-precip-mm,Monthly-SWE-mm,Monthly-mean-temp-C,Monthly-discharge-m3/S
01/01/1997,1997,1997,1,0.59,0.89,149.86,228.6,-7.903225806,20.00244
02/01/1997,1997,1997,2,0.59,0.89,104.14,370.84,-7.837301589,24.2531
03/01/1997,1997,1997,3,0.59,0.89,20.32,474.98,-1.845878139,41.7142
04/01/1997,1997,1997,4,0.59,0.89,142.24,469.9,-3.180076628,44.4027
05/01/1997,1997,1997,5,0.59,0.89,60.96,604.52,3.4946236556,120.9542
06/01/1997,1997,1997,6,0.59,0.89,71.12,340.36,7.9074074056,124.2087
07/01/1997,1997,1997,7,0.59,0.89,111.76,0,10.232974911,37.922
08/01/1997,1997,1997,8,0.59,0.89,193.04,0,9.5878136222,34.2147
09/01/1997,1997,1997,9,0.59,0.89,86.36,0,7.9629629611,41.5161
10/01/1997,1997,1997,10,0.59,0.89,66.04,0,0.9498207889,62.9675
11/01/1997,1997,1997,11,0.59,0.89,96.52,121.92,-4.462962961,39.1106
12/01/1997,1997,1997,12,0.59,0.89,104.14,205.74,-8.118279572,28.6396
01/01/1998,1998,1998,1,3.02,0.68,30.48,218.44,-7.419354839,26.85104
02/01/1998,1998,1998,2,3.02,0.68,81.28,238.76,-9.305555556,27.37742
03/01/1998,1998,1998,3,3.02,0.68,154.94,337.82,-5.629629628,38.1767
04/01/1998,1998,1998,4,3.02,0.68,68.58,492.76,-3.722222222,48.1666
05/01/1998,1998,1998,5,3.02,0.68,12.7,502.92,4.5340501778,101.031
06/01/1998,1998,1998,6,3.02,0.68,10.16,88.9,8.7962962944,52.072
07/01/1998,1998,1998,7,3.02,0.68,208.28,0,9.8566308222,37.8088
08/01/1998,1998,1998,8,3.02,0.68,152.4,0,9.3010752667,34.0449
09/01/1998,1998,1998,9,3.02,0.68,15.24,0,8.5370370389,36.3372
10/01/1998,1998,1998,10,3.02,0.68,132.08,0,1.3978494611,27.34063
11/01/1998,1998,1998,11,3.02,0.68,60.96,25.4,-2.629629628,22.07683
12/01/1998,1998,1998,12,3.02,0.68,10.16,111.76,-5.519713261,21.10897
01/01/1999,1999,1999,1,-0.15,-0.06,45.72,127,-6.397849461,22.57208
02/01/1999,1999,1999,2,-0.15,-0.06,7.62,170.18,-4.980158728,22.05702
03/01/1999,1999,1999,3,-0.15,-0.06,40.64,170.18,-2.706093189,21.66082
04/01/1999,1999,1999,4,-0.15,-0.06,99.06,213.36,-3.296296294,28.7245
05/01/1999,1999,1999,5,-0.15,-0.06,99.06,246.38,1.8637992833,101.9649
06/01/1999,1999,1999,6,-0.15,-0.06,58.42,38.1,7.8148148167,87.3338
07/01/1999,1999,1999,7,-0.15,-0.06,162.56,0,9.5740740722,42.8462
08/01/1999,1999,1999,8,-0.15,-0.06,203.2,0,8.9247311833,60.3356
09/01/1999,1999,1999,9,-0.15,-0.06,78.74,0,6.1111111111,43.9499
10/01/1999,1999,1999,10,-0.15,-0.06,20.32,0,3.4050179222,29.4603
11/01/1999,1999,1999,11,-0.15,-0.06,10.16,73.66,0.8333333333,23.66729
12/01/1999,1999,1999,12,-0.15,-0.06,33.02,124.46,-7.544802867,21.49385
01/01/2000,2000,2000,1,-1.96,-1.11,91.44,35.56,-6.845878139,21.84477
02/01/2000,2000,2000,2,-1.96,-1.11,20.32,121.92,-5,22.58623
03/01/2000,2000,2000,3,-1.96,-1.11,119.38,129.54,-4.659498206,27.92361
04/01/2000,2000,2000,4,-1.96,-1.11,43.18,256.54,1.0185185167,31.7809
05/01/2000,2000,2000,5,-1.96,-1.11,5.08,152.4,6.9175627222,37.7239
06/01/2000,2000,2000,6,-1.96,-1.11,27.94,0,9.4629629611,45.3649
07/01/2000,2000,2000,7,-1.96,-1.11,91.44,0,10.685185183,41.601
08/01/2000,2000,2000,8,-1.96,-1.11,124.46,0,10.268817206,38.1201
09/01/2000,2000,2000,9,-1.96,-1.11,12.7,0,8.5925925944,32.9412
10/01/2000,2000,2000,10,-1.96,-1.11,167.64,0,0.7885304667,15.6216
11/01/2000,2000,2000,11,-1.96,-1.11,91.44,0,-7.85185185,13.16516
12/01/2000,2000,2000,12,-1.96,-1.11,27.94,7.62,-6.523297489,14.86882
01/01/2001,2001,2001,1,-1.63,-2.01,99.06,195.58,-8.555555556,15.35558
02/01/2001,2001,2001,2,-1.63,-2.01,78.74,284.48,-6.34920635,17.50072
03/01/2001,2001,2001,3,-1.63,-2.01,66.04,363.22,-4.659498206,23.48051
04/01/2001,2001,2001,4,-1.63,-2.01,40.64,403.86,-0.222222222,31.979
05/01/2001,2001,2001,5,-1.63,-2.01,60.96,350.52,5.1971326167,77.7684
06/01/2001,2001,2001,6,-1.63,-2.01,22.86,0,9.8333333333,55.3831
07/01/2001,2001,2001,7,-1.63,-2.01,53.34,0,11.200716844,35.0637
08/01/2001,2001,2001,8,-1.63,-2.01,81.28,0,9.1935483889,27.66042
09/01/2001,2001,2001,9,-1.63,-2.01,22.86,0,7.8333333333,29.7716
10/01/2001,2001,2001,10,-1.63,-2.01,15.24,0,3.0107526889,19.56662
11/01/2001,2001,2001,11,-1.63,-2.01,45.72,81.28,-3.537037039,12.65859
12/01/2001,2001,2001,12,-1.63,-2.01,45.72,152.4,-7.992831539,15.84234
01/01/2002,2002,2002,1,-3.94,-2.35,50.8,81.28,-7.293906811,16.05176
02/01/2002,2002,2002,2,-3.94,-2.35,27.94,119.38,-7.162698411,15.58198
03/01/2002,2002,2002,3,-3.94,-2.35,10.16,139.7,-5,19.88641
04/01/2002,2002,2002,4,-3.94,-2.35,48.26,139.7,2.2037037056,28.06228
05/01/2002,2002,2002,5,-3.94,-2.35,10.16,10.16,5.4121863778,34.8656
06/01/2002,2002,2002,6,-3.94,-2.35,27.94,0,11.407407406,35.3467
07/01/2002,2002,2002,7,-3.94,-2.35,96.52,0,10.161290322,27.06329
08/01/2002,2002,2002,8,-3.94,-2.35,35.56,0,11.1827957,25.84922
09/01/2002,2002,2002,9,-3.94,-2.35,119.38,0,6.3148148167,17.07905
10/01/2002,2002,2002,10,-3.94,-2.35,99.06,0,0.1433691778,10.6691
11/01/2002,2002,2002,11,-3.94,-2.35,76.2,0,-3.85185185,10.40308
12/01/2002,2002,2002,12,-3.94,-2.35,45.72,38.1,-8.369175628,12.04731
01/01/2003,2003,2003,1,-3.06,-1.93,10.16,205.74,-3.637992833,13.3859
02/01/2003,2003,2003,2,-3.06,-1.93,129.54,208.28,-8.333333333,14.09623
03/01/2003,2003,2003,3,-3.06,-1.93,129.54,335.28,-5.215053761,17.26583
04/01/2003,2003,2003,4,-3.06,-1.93,45.72,459.74,-1.296296294,26.50578
05/01/2003,2003,2003,5,-3.06,-1.93,30.48,434.34,3.9426523278,31.8941
06/01/2003,2003,2003,6,-3.06,-1.93,35.56,17.78,8.4629629611,29.4037
07/01/2003,2003,2003,7,-3.06,-1.93,63.5,0,12.885304661,28.4132
08/01/2003,2003,2003,8,-3.06,-1.93,139.7,0,9.64814815,22.19286
09/01/2003,2003,2003,9,-3.06,-1.93,25.4,0,7.2037037056,14.03114
10/01/2003,2003,2003,10,-3.06,-1.93,30.48,0,4.4444444444,10.97474
11/01/2003,2003,2003,11,-3.06,-1.93,58.42,88.9,-3.907407406,12.8199
12/01/2003,2003,2003,12,-3.06,-1.93,71.12,160.02,-6.433691756,16.77624
01/01/2004,2004,2004,1,-1.05,-1.06,33.02,111.76,-7.491039428,14.17264
02/01/2004,2004,2004,2,-1.05,-1.06,86.36,147.32,-9.655172411,14.90844
03/01/2004,2004,2004,3,-1.05,-1.06,63.5,243.84,-1.254480289,33.111
04/01/2004,2004,2004,4,-1.05,-1.06,154.94,294.64,-1.722222222,40.8369
05/01/2004,2004,2004,5,-1.05,-1.06,2.54,403.86,5.2329749111,66.3069
06/01/2004,2004,2004,6,-1.05,-1.06,43.18,0,9.4629629611,31.1866
07/01/2004,2004,2004,7,-1.05,-1.06,58.42,0,10.250896056,23.51164
08/01/2004,2004,2004,8,-1.05,-1.06,66.04,0,8.3870967722,19.79585
09/01/2004,2004,2004,9,-1.05,-1.06,91.44,0,5.9444444444,18.112
10/01/2004,2004,2004,10,-1.05,-1.06,88.9,0,-0.143369178,11.69639
11/01/2004,2004,2004,11,-1.05,-1.06,76.2,0,-4.722222222,20.21186
12/01/2004,2004,2004,12,-1.05,-1.06,81.28,50.8,-6.236559139,23.24562
01/01/2005,2005,2005,1,2.42,-0.49,152.4,162.56,-5.949820789,20.1213
02/01/2005,2005,2005,2,2.42,-0.49,193.04,309.88,-7.281746033,25.43038
03/01/2005,2005,2005,3,2.42,-0.49,134.62,515.62,-6.541218639,25.77281
04/01/2005,2005,2005,4,2.42,-0.49,88.9,652.78,-1.388888889,90.9845
05/01/2005,2005,2005,5,2.42,-0.49,38.1,642.62,4.4444444444,171.6395
06/01/2005,2005,2005,6,2.42,-0.49,20.32,297.18,8.5823754778,125.369
07/01/2005,2005,2005,7,2.42,-0.49,76.2,0,13.842592594,34.9788
08/01/2005,2005,2005,8,2.42,-0.49,96.52,0,10.514403294,25.61999
09/01/2005,2005,2005,9,2.42,-0.49,96.52,0,8.7037037056,23.28241
10/01/2005,2005,2005,10,2.42,-0.49,76.2,0,3.3870967722,17.60543
11/01/2005,2005,2005,11,2.42,-0.49,7.62,20.32,-0.388888889,23.16921
12/01/2005,2005,2005,12,2.42,-0.49,12.7,83.82,-4.516129033,20.30808
01/01/2006,2006,2006,1,-0.60,-0.66,20.32,0,-4.731182794,18.46009
02/01/2006,2006,2006,2,-0.60,-0.66,7.62,17.78,-3.710317461,16.54418
03/01/2006,2006,2006,3,-0.60,-0.66,55.88,17.78,-3.440860217,19.06571
04/01/2006,2006,2006,4,-0.60,-0.66,43.18,60.96,2.9629629611,27.71985
05/01/2006,2006,2006,5,-0.60,-0.66,20.32,22.86,7.5448028667,30.564
06/01/2006,2006,2006,6,-0.60,-0.66,60.96,0,11.259259261,36.7617
07/01/2006,2006,2006,7,-0.60,-0.66,162.56,0,11.16487455,24.19084
08/01/2006,2006,2006,8,-0.60,-0.66,187.96,0,9.6953405,27.14536
09/01/2006,2006,2006,9,-0.60,-0.66,58.42,0,5.4814814833,21.16274
10/01/2006,2006,2006,10,-0.60,-0.66,43.18,0,2.6436781611,26.69256
11/01/2006,2006,2006,11,-0.60,-0.66,25.4,17.78,-0.240740739,34.5826
12/01/2006,2006,2006,12,-0.60,-0.66,81.28,0,-4.354838711,25.53226
01/01/2007,2007,2007,1,-2.39,-1.21,63.5,99.06,-6.003584228,19.7817
02/01/2007,2007,2007,2,-2.39,-1.21,111.76,175.26,-4.920634922,21.55328
03/01/2007,2007,2007,3,-2.39,-1.21,55.88,261.62,-0.770609317,43.2424
04/01/2007,2007,2007,4,-2.39,-1.21,104.14,309.88,0.7592592611,41.4029
05/01/2007,2007,2007,5,-2.39,-1.21,76.2,391.16,4.4265233,80.7116
06/01/2007,2007,2007,6,-2.39,-1.21,50.8,154.94,10.166666667,42.7613
07/01/2007,2007,2007,7,-2.39,-1.21,111.76,0,11.451612906,30.1112
08/01/2007,2007,2007,8,-2.39,-1.21,119.38,0,11.792114694,27.55854
09/01/2007,2007,2007,9,-2.39,-1.21,40.64,0,8.35185185,21.56177
10/01/2007,2007,2007,10,-2.39,-1.21,27.94,0,4.4265233,15.8197
11/01/2007,2007,2007,11,-2.39,-1.21,58.42,10.16,1.2962962944,16.80454
12/01/2007,2007,2007,12,-2.39,-1.21,160.02,22.86,-6.684587811,24.92664
01/01/2008,2008,2008,1,-1.96,-1.45,132.08,195.58,-7.974910394,19.43361
02/01/2008,2008,2008,2,-1.96,-1.45,101.6,330.2,-5.249042144,26.93877
03/01/2008,2008,2008,3,-1.96,-1.45,55.88,434.34,-3.010752689,65.4579
