sex,snout.vent,pelvic.width
male,1.1,7.62
male,1.19,8.2
male,1.13,8
male,1.15,9.6
male,0.96,6.5
male,1.19,8.17
male,1.06,7.2
male,0.7,4.65
male,0.7,5.04
male,1.04,8.83
male,1.15,8.01
male,1.1,6.84
male,1.15,8.37
male,1.15,7.36
male,0.91,6.43
male,1.45,9.43
male,1.22,7.7
male,1.33,10.2
male,1.38,9.14
female,1.24,7.64
female,1.02,6.31
female,0.93,5.9
female,0.71,4.48
female,1.03,6.03
female,1.02,6.6
female,0.95,5.88
female,1.03,6.77
female,0.96,6.47
female,1.16,7.56
female,0.93,6.13
female,1.04,6.76
female,1.03,6.63
female,0.93,5.93
female,0.85,6.52
female,1.23,9.23
