Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
0.000000,22.662500,25.000000,1.000001,55.000000,2390.000000,1007716.375000,23287.375000,59603705.125000,56647.500000,59746.750000,0.000052,1007985.413723,0.023109,0.010194,0.010193,3223.764428,3225.223825,158.407081,1.697535,160.104616,0.049615,32.893532,30.901368,1.996563,0.289362,0.000585,0.745374,0.000140,623351.288465,1259.322117,0.009546,0.000002,0.007942,0.049651,17109.149369,0.000636,26930120.924873,5197711.337630,0.193007,827240.796838,4286058.467994,4365160.309430,9974118.861064,1925078.273196,27427132.846464,10158197.350542, 
0.130767,23.212500,25.000000,1.000001,55.000000,2390.000000,1007793.500000,23322.000000,59603881.500000,56645.875000,59745.875000,0.000052,1008063.318610,0.023142,0.010226,0.010226,3223.515290,3224.973374,158.148421,1.697535,159.845956,0.049539,32.996082,31.003913,1.996563,0.289385,0.000608,0.745379,0.000146,623400.977623,1309.011275,0.009546,0.000002,0.007930,0.049654,17082.834186,0.000636,26886613.424521,5214959.689002,0.193961,829985.955045,4279134.039737,4358883.436800,9958004.972045,1931466.551482,27387694.061340,10143590.393089, 
0.259199,23.575000,25.000000,1.000001,55.000000,2390.000000,1007844.000000,23222.250000,59604268.000000,56647.875000,59747.250000,0.000052,1008111.502380,0.023042,0.010126,0.010126,3223.361218,3224.822444,157.979501,1.697535,159.677036,0.049489,32.671601,30.679420,1.996563,0.289436,0.000658,0.745391,0.000158,623509.865105,1417.898757,0.009546,0.000002,0.007922,0.049657,17065.579900,0.000636,26858200.594955,5160378.940173,0.192134,821299.165952,4274612.001047,4352796.811188,9947481.701835,1911251.459323,27349450.634428,10129426.160899, 
0.388409,23.900000,25.000000,1.000001,55.000000,2390.000000,1007998.875000,23322.125000,59604502.125000,56649.375000,59747.250000,0.000052,1008268.641541,0.023137,0.010222,0.010221,3222.858856,3224.316463,157.462622,1.697535,159.160158,0.049336,32.974554,30.982366,1.996563,0.289466,0.000689,0.745399,0.000165,623575.825080,1483.858733,0.009547,0.000002,0.007898,0.049665,17013.006151,0.000636,26771259.912849,5211335.380251,0.194662,829409.128849,4260774.972695,4340751.417780,9915281.449203,1930124.214908,27273767.135597,10101395.235406, 
0.519180,24.100000,25.000000,1.000001,55.000000,2390.000000,1008104.250000,23302.250000,59604695.000000,56647.000000,59746.625000,0.000052,1008373.528869,0.023115,0.010200,0.010199,3222.523626,3223.981642,157.118823,1.697535,158.816358,0.049235,32.899764,30.907570,1.996563,0.289491,0.000714,0.745405,0.000171,623630.164069,1538.197721,0.009547,0.000002,0.007881,0.049670,16978.018757,0.000636,26713431.764409,5198754.511101,0.194612,827406.822921,4251571.344312,4331334.776531,9893863.616448,1925464.633741,27214600.586789,10079481.698811, 
0.648131,24.212500,25.000000,1.000001,55.000000,2390.000000,1008331.500000,23370.250000,59605214.250000,56647.375000,59752.125000,0.000052,1008602.291529,0.023177,0.010262,0.010261,3221.792720,3223.247983,156.360994,1.697535,158.058530,0.049011,33.092867,31.100657,1.996563,0.289559,0.000782,0.745421,0.000187,623776.454857,1684.488510,0.009547,0.000002,0.007845,0.049681,16900.848210,0.000636,26585962.464455,5231232.369349,0.196767,832575.830508,4231283.991202,4312417.735766,9846652.764613,1937493.470129,27095741.220043,10035459.711127, 
0.776303,24.300000,25.000000,1.000001,55.000000,2390.000000,1008378.625000,23253.625000,59605633.875000,56649.250000,59752.000000,0.000052,1008646.708433,0.023060,0.010145,0.010145,3221.650845,3223.109815,156.203294,1.697535,157.900829,0.048964,32.715156,30.722934,1.996563,0.289614,0.000837,0.745434,0.000200,623894.679563,1802.713216,0.009547,0.000003,0.007838,0.049683,16884.709014,0.000636,26559436.674400,5167698.147615,0.194571,822464.053073,4227062.283940,4306332.856492,9836828.397926,1913962.276895,27057508.765707,10021299.542854, 
0.923192,24.300000,25.000000,1.000001,55.000000,2390.000000,1008410.250000,23224.250000,59606025.250000,56645.125000,59751.250000,0.000052,1008677.648257,0.023031,0.010115,0.010115,3221.552025,3223.011876,156.087137,1.697535,157.784672,0.048930,32.617937,30.625703,1.996563,0.289665,0.000888,0.745446,0.000213,624004.946550,1912.980203,0.009547,0.000003,0.007832,0.049685,16872.800531,0.000636,26539898.727073,5151343.573219,0.194098,819861.143778,4223952.725508,4302783.857273,9829592.121138,1907905.027118,27035209.728290,10013040.640107, 
1.050584,24.300000,25.000000,1.000001,55.000000,2390.000000,1008561.500000,23361.750000,59606369.250000,56649.250000,59752.500000,0.000052,1008832.032920,0.023163,0.010248,0.010248,3221.059021,3222.514036,155.573284,1.697535,157.270819,0.048778,33.041133,31.048888,1.996563,0.289710,0.000933,0.745457,0.000224,624101.867105,2009.900758,0.009547,0.000003,0.007808,0.049692,16820.448118,0.000636,26453466.939372,5222524.696692,0.197423,831189.962459,4210196.690152,4291460.465094,9797580.347916,1934268.406182,26964062.700565,9986689.889098, 
1.181615,24.400000,25.655154,1.000001,55.000000,2390.000000,1008673.000000,23189.750000,59606967.750000,56648.875000,59752.750000,0.000052,1008939.535073,0.022990,0.010075,0.010075,3220.715819,3222.176177,155.207565,1.697535,156.905100,0.048670,32.479926,30.487663,1.996563,0.289789,0.001011,0.745476,0.000242,624270.494466,2178.528118,0.009548,0.000003,0.007791,0.049698,16783.092417,0.000636,26391951.898324,5128124.771922,0.194306,816165.759706,4200406.275051,4278964.760640,9774796.999379,1899305.471082,26885549.811746,9957611.041387, 
1.325904,24.500000,26.376601,1.000001,55.000000,2390.000000,1008741.625000,23127.125000,59607216.375000,56650.750000,59750.000000,0.000052,1009006.704595,0.022927,0.010011,0.010011,3220.501416,3221.963631,154.983445,1.697535,156.680980,0.048603,32.272700,30.280430,1.996563,0.289821,0.001044,0.745484,0.000250,624340.545486,2248.579139,0.009548,0.000003,0.007780,0.049701,16760.224740,0.000637,26354254.118589,5093267.449298,0.193262,810618.048902,4194406.491815,4272019.129146,9760834.858737,1886395.351592,26841909.087419,9941447.810155, 
1.454856,24.587500,27.021359,1.000001,55.000000,2390.000000,1008930.500000,23054.500000,59607510.000000,56649.375000,59752.250000,0.000052,1009193.868293,0.022850,0.009935,0.009935,3219.904146,3221.368241,154.374387,1.697535,156.071922,0.048423,32.021006,30.028727,1.996563,0.289860,0.001082,0.745493,0.000259,624423.276131,2331.309783,0.009548,0.000003,0.007751,0.049710,16698.157636,0.000637,26251808.603935,5050930.311268,0.192403,803879.889446,4178101.794676,4254733.538465,9722892.075532,1870714.930099,26733300.431988,9901222.382218, 
