 ,Label,Area,Mean,Min,Max,Angle,Length
1,cnt edited final,1503.699,41.748,16.000,105.000,9.293,708.451
2,cnt edited final,1167.050,41.781,16.702,59.642,-66.105,549.191
3,cnt edited final,1068.299,30.553,12.342,68.000,15.446,501.152
4,cnt edited final,1018.924,49.564,15.000,83.610,10.169,479.303
5,cnt edited final,1220.914,40.351,13.000,70.932,-13.216,574.218
6,cnt edited final,1346.596,41.506,13.999,71.720,15.339,632.522
7,cnt edited final,763.071,55.267,16.010,101.293,174.560,357.543
8,cnt edited final,1395.971,41.460,11.000,87.033,-39.498,656.103
9,cnt edited final,785.514,27.043,12.770,48.536,-95.284,368.793
10,cnt edited final,1077.277,61.855,41.294,89.499,58.299,507.257
11,cnt edited final,1117.675,62.086,15.230,95.800,-7.671,524.550
