Storage Modulus,Loss Modulus,Sample,Angular Freq,Complex Visc
3.24E+03,4.58E+02,control,1.99,1.64E+03
3.64E+03,5.23E+02,control,1.99,1.85E+03
5.81E+03,8.18E+02,control,1.99,2.95E+03
7.18E+03,1.22E+03,PF108,1.99,3.66E+03
4.83E+03,7.35E+02,PF108,1.99,2.46E+03
5.93E+03,1.13E+03,PF108,1.99,3.04E+03
4.85E+03,8.50E+02,SDS,1.99,2.47E+03
7.28E+03,1.15E+03,SDS,1.99,3.70E+03
6.14E+03,1.12E+03,SDS,1.99,3.13E+03
9.24E+03,1.45E+03,CTAB,1.99,4.70E+03
7.65E+03,1.15E+03,CTAB,1.99,3.89E+03
8.87E+03,1.35E+03,CTAB,1.99,4.51E+03
