Storage Modulus,Loss Modulus,Sample,Angular Freq,Complex Visc,,,
4.74E+03,6.68E+02,Control 1,50,9.57E+01,,,
4.22E+03,6.23E+02,Control 1,31.5,1.35E+02,,,
3.92E+03,5.74E+02,Control 1,19.9,1.99E+02,,,
3.71E+03,5.32E+02,Control 1,12.6,2.98E+02,,,
3.56E+03,5.05E+02,Control 1,7.92,4.53E+02,,,
3.47E+03,4.93E+02,Control 1,5,7.01E+02,,,
3.36E+03,4.60E+02,Control 1,3.15,1.08E+03,,,
3.24E+03,4.58E+02,Control 1,1.99,1.64E+03,,,
3.13E+03,4.49E+02,Control 1,1.26,2.51E+03,,,
3.01E+03,4.39E+02,Control 1,0.792,3.84E+03,,,
2.90E+03,4.43E+02,Control 1,0.5,5.86E+03,,,
5.97E+03,6.41E+02,Control 2,50,1.20E+02,,,
5.05E+03,6.44E+02,Control 2,31.5,1.61E+02,,,
4.50E+03,6.48E+02,Control 2,19.9,2.28E+02,,,
4.18E+03,5.93E+02,Control 2,12.6,3.36E+02,,,
3.99E+03,5.74E+02,Control 2,7.92,5.08E+02,,,
3.90E+03,5.45E+02,Control 2,5,7.87E+02,,,
3.78E+03,5.44E+02,Control 2,3.15,1.21E+03,,,
3.64E+03,5.23E+02,Control 2,1.99,1.85E+03,,,
3.52E+03,5.12E+02,Control 2,1.26,2.83E+03,,,
3.39E+03,5.03E+02,Control 2,0.792,4.32E+03,,,
3.27E+03,5.01E+02,Control 2,0.5,6.62E+03,,,
7.95E+03,1.29E+03,Control 3,50,1.61E+02,,,
7.43E+03,1.14E+03,Control 3,31.5,2.38E+02,,,
7.06E+03,1.04E+03,Control 3,19.9,3.58E+02,,,
6.75E+03,9.76E+02,Control 3,12.6,5.43E+02,,,
6.48E+03,9.16E+02,Control 3,7.92,8.26E+02,,,
6.23E+03,8.47E+02,Control 3,5,1.26E+03,,,
6.04E+03,8.60E+02,Control 3,3.15,1.93E+03,,,
5.81E+03,8.18E+02,Control 3,1.99,2.95E+03,,,
5.60E+03,7.95E+02,Control 3,1.26,4.50E+03,,,
5.39E+03,7.81E+02,Control 3,0.792,6.87E+03,,,
5.17E+03,7.48E+02,Control 3,0.5,1.05E+04,,,
1.10E+04,1.71E+03,PF108 1,50,2.23E+02,,,
9.82E+03,1.48E+03,PF108 1,31.5,3.15E+02,,,
9.03E+03,1.41E+03,PF108 1,19.9,4.59E+02,,,
8.51E+03,1.36E+03,PF108 1,12.6,6.86E+02,,,
8.09E+03,1.31E+03,PF108 1,7.92,1.03E+03,,,
7.79E+03,1.30E+03,PF108 1,5,1.58E+03,,,
7.50E+03,1.25E+03,PF108 1,3.15,2.41E+03,,,
7.18E+03,1.22E+03,PF108 1,1.99,3.66E+03,,,
6.87E+03,1.20E+03,PF108 1,1.26,5.56E+03,,,
6.57E+03,1.17E+03,PF108 1,0.792,8.42E+03,,,
6.25E+03,1.16E+03,PF108 1,0.5,1.27E+04,,,
7.83E+03,1.23E+03,PF108 2,50,1.58E+02,,,
6.71E+03,9.74E+02,PF108 2,31.5,2.15E+02,,,
6.05E+03,8.90E+02,PF108 2,19.9,3.07E+02,,,
5.65E+03,8.41E+02,PF108 2,12.6,4.55E+02,,,
5.40E+03,8.34E+02,PF108 2,7.92,6.90E+02,,,
5.23E+03,7.72E+02,PF108 2,5,1.06E+03,,,
5.03E+03,7.57E+02,PF108 2,3.15,1.61E+03,,,
4.83E+03,7.35E+02,PF108 2,1.99,2.46E+03,,,
4.65E+03,7.16E+02,PF108 2,1.26,3.75E+03,,,
4.46E+03,7.08E+02,PF108 2,0.792,5.70E+03,,,
4.28E+03,6.74E+02,PF108 2,0.5,8.67E+03,,,
9.03E+03,1.48E+03,PF108 3,50,1.83E+02,,,
7.96E+03,1.39E+03,PF108 3,31.5,2.56E+02,,,
7.34E+03,1.34E+03,PF108 3,19.9,3.75E+02,,,
6.90E+03,1.34E+03,PF108 3,12.6,5.60E+02,,,
6.58E+03,1.30E+03,PF108 3,7.92,8.46E+02,,,
6.39E+03,1.22E+03,PF108 3,5,1.30E+03,,,
6.15E+03,1.18E+03,PF108 3,3.15,1.99E+03,,,
5.93E+03,1.13E+03,PF108 3,1.99,3.04E+03,,,
5.73E+03,1.08E+03,PF108 3,1.26,4.64E+03,,,
5.52E+03,1.03E+03,PF108 3,0.792,7.09E+03,,,
5.31E+03,1.00E+03,PF108 3,0.5,1.08E+04,,,
7.38E+03,1.35E+03,SDS 1,50,1.50E+02,,,
6.52E+03,1.12E+03,SDS 1,31.5,2.10E+02,,,
5.99E+03,1.06E+03,SDS 1,19.9,3.05E+02,,,
5.62E+03,1.01E+03,SDS 1,12.6,4.54E+02,,,
5.37E+03,9.65E+02,SDS 1,7.92,6.89E+02,,,
5.23E+03,9.18E+02,SDS 1,5,1.06E+03,,,
5.03E+03,8.86E+02,SDS 1,3.15,1.62E+03,,,
4.85E+03,8.50E+02,SDS 1,1.99,2.47E+03,,,
4.69E+03,8.28E+02,SDS 1,1.26,3.79E+03,,,
4.52E+03,7.98E+02,SDS 1,0.792,5.80E+03,,,
4.36E+03,7.85E+02,SDS 1,0.5,8.86E+03,,,
1.05E+04,1.52E+03,SDS 2,50,2.11E+02,,,
9.62E+03,1.40E+03,SDS 2,31.5,3.08E+02,,,
9.03E+03,1.34E+03,SDS 2,19.9,4.58E+02,,,
8.54E+03,1.32E+03,SDS 2,12.6,6.88E+02,,,
