mm,N/mm_
,
0.000732422,-0.007085949
0.001074219,-0.000890564
0.001464844,-0.006708454
0.002050781,-2.54655E-05
0.002734375,0.007624968
0.003417969,-0.009415434
0.004101562,-0.008697914
0.004785156,0.002201187
0.005517578,-0.010798451
0.006201172,-0.002845706
0.006884766,-0.018119896
0.007568359,-0.017487988
0.008251953,-0.020020954
0.008935546,-0.007333813
0.009667969,-0.006850576
0.010302734,-0.005584578
0.010986329,-0.000949013
0.011669922,-0.020579012
0.012304688,-0.007461019
0.012988281,-0.014108477
0.013671875,-0.017015543
0.01430664,-0.021431619
0.014941406,-0.00638189
0.015576172,-0.023291085
0.016210937,-0.001363373
0.01689453,-0.017675584
0.017529297,-0.017217327
0.01821289,-0.000401627
0.018847655,-0.023475528
0.019482422,0.00133148
0.020117188,0.00434635
0.02080078,-0.010111975
0.021484375,-0.017987354
0.022167969,-0.026594684
0.022851562,-0.012401442
0.023486327,-0.011795121
0.024121095,-0.018288452
0.024804687,-0.020704763
0.025488282,-0.022131799
0.026171874,0.002392784
0.026855469,-0.015760459
0.02758789,-0.01844367
0.028222656,0.005886768
0.02890625,0.001954293
0.029589843,-0.013789068
0.03022461,-0.021640316
0.030908202,-0.010456244
0.031640626,-0.012326743
0.032324217,-0.018599616
0.032958986,-0.017977167
0.033593751,-0.01855487
0.034277342,0.004571901
0.034912111,-0.019001001
0.035595705,-0.017158635
0.036230467,-0.002788469
0.036914062,-0.013875287
0.037548827,-0.008158167
0.038183593,-0.006016278
0.038818358,-0.010884671
0.039453127,-0.009616004
0.040136718,-0.011610799
0.040820312,-0.004321006
0.041455078,-0.010562714
0.042089843,0.012157459
0.042724609,-0.009918073
0.043408203,-0.013419455
0.044091797,-0.005225636
0.044775388,-0.004370724
0.045458983,-0.005623625
0.046093752,-0.017474771
0.046777346,-0.00348598
0.047412108,-0.006147729
0.048144531,0.001407634
0.048828126,-0.008270578
0.049560545,-0.000565212
0.050195315,-0.006035074
0.050878905,-0.007724769
0.0515625,-0.007625454
0.052246094,-0.003520298
0.052929689,-0.01418063
0.053613283,0.002250663
0.054296874,-0.006287304
0.054980468,-0.00735079
0.055712891,-0.013796587
0.056347657,0.004680432
0.057031251,-0.00772489
0.057666013,0.003924472
0.058300782,0.016792659
0.058984377,0.019820867
0.059667967,0.011610678
0.060351562,0.010554953
0.060937502,0.007331145
0.061621089,-0.007484787
0.062255858,-0.007466719
0.062890627,-0.001689331
0.063574218,0.006824262
0.064257816,0.002768946
0.064892578,0.005665218
0.06552734,0.005265532
0.066162109,-0.009785047
0.0668457,5.28712E-05
0.067529298,0.005570997
0.068212888,0.007639278
0.068847658,0.01869675
0.069531248,-0.007684994
0.070214846,0.003615127
0.070849615,-0.016781988
0.071582035,-0.009715563
0.072216797,-0.00329984
0.072900395,-0.003278255
0.073583986,-0.004430507
0.074267584,-0.006784608
0.074951175,0.011569813
0.075634765,-0.005166217
0.076318363,-0.004490897
0.076953125,-0.01952086
0.077636716,0.002722259
0.078369143,0.005287117
0.079003905,-0.004514664
0.079638674,0.002706858
0.080273436,-0.0013487
0.080957034,0.004080418
0.081591803,0.000128783
0.082275394,0.011635901
0.082861327,0.000510522
0.083496096,-0.000236465
0.084130857,-0.005842507
0.084814448,0.006790307
0.085498046,0.001043721
0.086132808,-0.013428549
0.086816406,-0.014983883
0.087451175,-0.004877123
0.088134766,-0.018329926
0.088818357,-0.000430973
0.089453126,-0.00347725
0.090136724,-0.002215375
0.090820315,-0.001257631
0.091503905,0.009098086
0.092187503,-0.004052163
0.092822265,-0.015703101
0.093505856,-0.003948724
0.094189447,-0.010066865
0.094873045,-0.012739405
0.095605472,-0.012633299
0.096289063,-0.004227632
0.096972661,0.005588822
0.097656251,-0.007078431
0.098339842,0.005152271
0.09902344,0.013733772
