Wavelength,Temperature,Control 1A,25 ppm 1A,20 ppm 1A,Control 2A,25 ppm 2A,20 ppm 2A,Control 3A,25 ppm 3A,20 ppm 3A,Control 1B,25 ppm 1B,20 ppm 1B,Control 2B,25 ppm 2B,20 ppm 2B,Control 3B,25 ppm 3B,20 ppm 3B,Control 1C,25 ppm 1C,20 ppm 1C,Control 2C,25 ppm 2C,20 ppm 2C,Control 3C,25 ppm 3C,20 ppm 3C,
200,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
210,24,0,-0.1333,0,0,0,0,0,-0.0814,0,0,-0.1219,0,0,0,0,0,-0.1111,0,0,-0.095,0,0,0,0,0,-0.0739,0,
220,24,0,-0.099,0,0,0,0,0,-0.0129,0,0,-0.0671,0,0,0,0,0,0,0,0,-0.0849,0,0,0,0,0,0,0,
230,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
240,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
250,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
260,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
270,24,0,0,0,0,0,0,0,-0.0007,0,0,0,0,0,0,0,0,-0.0044,0,0,0,0,0,0,0,0,0,0,
280,24.1,0.039966667,-0.117733333,0.017466667,-0.057433333,0.067966667,0.067966667,0.017466667,-0.133233333,0.048366667,-0.0005667,-0.1010667,0.0877333,-0.017766667,0.095333333,0.095333333,0.018333333,-0.104266667,0.095333333,0.0055,-0.124,0.0621,-0.0348,0.0786,0.0786,0.0293,-0.1198,0.0653,
290,24.1,-0.0435,-0.3188,0.0666,-0.0165,0.263,0.1261,0.06,-0.2101,-0.0816,-0.0429333,-0.3159333,0.0681667,-0.003633333,0.238966667,0.136166667,0.046566667,-0.196733333,-0.077333333,-0.0433,-0.3192,0.0713,-0.0134,0.2884,0.1266,0.0567,-0.1998,-0.0797,
300,24.1,-0.234033333,-0.666533333,-0.111533333,-0.017633333,0.287166667,-0.069033333,0.251666667,-0.444633333,-0.400633333,-0.2328,-0.6738,-0.118,-0.0176,0.2739,-0.0674,0.2504,-0.441,-0.4006,-0.229266667,-0.674166667,-0.120766667,-0.018766667,0.277633333,-0.072466667,0.248033333,-0.438766667,-0.409366667,
310,24.1,-0.242566667,-0.670666667,-0.149466667,-0.035566667,0.251533333,-0.101266667,0.278133333,-0.455666667,-0.415766667,-0.2437,-0.6766,-0.1575,-0.0325,0.2467,-0.0997,0.2762,-0.4525,-0.4115,-0.241833333,-0.679033333,-0.158933333,-0.033933333,0.249166667,-0.100833333,0.275766667,-0.454033333,-0.420433333,
320,24.1,-0.231333333,-0.645233333,-0.162333333,-0.046633333,0.231066667,-0.101333333,0.277966667,-0.443033333,-0.392733333,-0.2304667,-0.6505667,-0.1689667,-0.043866667,0.227833333,-0.100666667,0.274333333,-0.440266667,-0.388866667,-0.229533333,-0.654633333,-0.171433333,-0.044333333,0.228966667,-0.101733333,0.273866667,-0.441633333,-0.401733333,
330,24.1,-0.214666667,-0.614166667,-0.164966667,-0.055066667,0.218233333,-0.096566667,0.269733333,-0.424366667,-0.367366667,-0.2137333,-0.6202333,-0.1703333,-0.051733333,0.215066667,-0.094733333,0.265466667,-0.420233333,-0.363333333,-0.213166667,-0.624166667,-0.172666667,-0.054866667,0.215833333,-0.096866667,0.268033333,-0.422066667,-0.376566667,
340,24.1,-0.192633333,-0.582033333,-0.166633333,-0.063333333,0.202466667,-0.087333333,0.255966667,-0.402433333,-0.341233333,-0.1928,-0.5894,-0.1722,-0.0596,0.2,-0.0856,0.2524,-0.3991,-0.3374,-0.1915,-0.5912,-0.1748,-0.0618,0.2023,-0.0873,0.2533,-0.4011,-0.3484,
350,24.1,-0.173766667,-0.549366667,-0.164266667,-0.068266667,0.192033333,-0.075966667,0.242033333,-0.380866667,-0.313266667,-0.1735667,-0.5549667,-0.1692667,-0.063866667,0.191233333,-0.073366667,0.237433333,-0.376466667,-0.308266667,-0.171933333,-0.557633333,-0.170733333,-0.067433333,0.192866667,-0.074533333,0.239366667,-0.377933333,-0.317333333,
360,24.1,-0.1551,-0.5191,-0.16,-0.0726,0.1822,-0.0683,0.2277,-0.3599,-0.2879,-0.1538,-0.5261,-0.1649,-0.069,0.1804,-0.0648,0.2228,-0.3555,-0.2808,-0.152133333,-0.527033333,-0.166133333,-0.072433333,0.183266667,-0.066233333,0.224566667,-0.356933333,-0.289033333,
370,24.1,-0.137933333,-0.487833333,-0.155633333,-0.075233333,0.166866667,-0.059533333,0.213166667,-0.340833333,-0.263433333,-0.1370667,-0.4959667,-0.1591667,-0.072066667,0.166533333,-0.055866667,0.209133333,-0.336966667,-0.255166667,-0.1366,-0.4968,-0.1617,-0.0741,0.1671,-0.0563,0.2107,-0.339,-0.2622,
