Region,Cases,Deaths,Recovered,Active,Longitude,Latitude,Date
Afghanistan,36263.00,1269.00,25198.00,9796.00,67.709953,33.93911,
Albania,4880.00,144.00,2745.00,1991.00,20.168331,41.153332,
Algeria,27973.00,1163.00,18837.00,7973.00,1.659626,28.033886,
Andorra,907.00,52.00,803.00,52.00,1.601554,42.546245,
Angola,950.00,41.00,242.00,667.00,17.873887,-11.202692,
Antigua and Barbuda,86.00,3.00,65.00,18.00,-61.796428,17.060816,
Argentina,167416.00,3059.00,72575.00,91782.00,-63.616672,-38.416097,
Armenia,37390.00,711.00,26665.00,10014.00,45.038189,40.069099,
Australia,15303.00,167.00,9311.00,5825.00,133.775136,-25.274398,
Austria,20558.00,713.00,18246.00,1599.00,14.550072,47.516231,
Azerbaijan,30446.00,423.00,23242.00,6781.00,47.576927,40.143105,
Bahamas,382.00,11.00,91.00,280.00,-77.39628,25.03428,
Bahrain,39482.00,141.00,36110.00,3231.00,50.637772,25.930414,
Bangladesh,226225.00,2965.00,125683.00,97577.00,90.356331,23.684994,
Barbados,110.00,7.00,94.00,9.00,-59.543198,13.193887,
Belarus,67251.00,538.00,60492.00,6221.00,27.953389,53.709807,
Belgium,66428.00,9822.00,17452.00,39154.00,4.469936,50.503887,
Belize,48.00,2.00,26.00,20.00,-88.49765,17.189877,
Benin,1770.00,35.00,1036.00,699.00,2.315834,9.30769,
Bhutan,99.00,0.00,86.00,13.00,90.433601,27.514162,
Bolivia,71181.00,2647.00,21478.00,47056.00,-63.588653,-16.290154,
Bosnia and Herzegovina,10498.00,294.00,4930.00,5274.00,17.679076,43.915886,
Botswana,739.00,2.00,63.00,674.00,24.684866,-22.328474,
Brazil,2442375.00,87618.00,1846641.00,508116.00,-51.92528,-14.235004,
Brunei,141.00,3.00,138.00,0.00,114.727669,4.535277,
Bulgaria,10621.00,347.00,5585.00,4689.00,25.48583,42.733883,
Burkina Faso,1100.00,53.00,926.00,121.00,-1.561593,12.238333,
Burma,350.00,6.00,292.00,52.00,95.956223,21.913965,
Burundi,378.00,1.00,301.00,76.00,29.918886,-3.373056,
Cape Verde,2328.00,22.00,1550.00,756.00,-24.013197,16.002082,
Cambodia,226.00,0.00,147.00,79.00,104.990963,12.565679,
Cameroon,17110.00,391.00,14539.00,2180.00,12.354722,7.369722,
Canada,116458.00,8944.00,0.00,107514.00,-106.34677,56.130366,
Central African Republic,4599.00,59.00,1546.00,2994.00,20.939444,6.611111,
Chad,922.00,75.00,810.00,37.00,18.732207,15.454166,
Chile,347923.00,9187.00,319954.00,18782.00,-71.542969,-35.675147,
China,86783.00,4656.00,78869.00,3258.00,104.195397,35.86166,
Colombia,257101.00,8777.00,131161.00,117163.00,-74.297333,4.570868,
Comoros,354.00,7.00,328.00,19.00,43.872219,-11.875001,
Congo [Republic],3200.00,54.00,829.00,2317.00,15.827659,-0.228021,
Congo [DRC],8844.00,208.00,5700.00,2936.00,21.758664,-4.038333,
Costa Rica,15841.00,115.00,3824.00,11902.00,-83.753428,9.748917,
Cote d'Ivoire,15655.00,96.00,10361.00,5198.00,-5.54708,7.539989,
Croatia,4881.00,139.00,3936.00,806.00,15.2,45.1,
Cuba,2532.00,87.00,2351.00,94.00,-77.781167,21.521757,
Cyprus,1060.00,19.00,852.00,189.00,33.429859,35.126413,
Czechia,15516.00,373.00,11428.00,3715.00,15.472962,49.817492,
Denmark,13761.00,613.00,12605.00,543.00,9.501785,56.26392,
Djibouti,5059.00,58.00,4977.00,24.00,42.590275,11.825138,
Dominica,18.00,0.00,18.00,0.00,-61.370976,15.414999,
Dominican Republic,64156.00,1083.00,30204.00,32869.00,-70.162651,18.735693,
Ecuador,81161.00,5532.00,34896.00,40733.00,-78.183406,-1.831239,
Egypt,92482.00,4652.00,34838.00,52992.00,30.802498,26.820553,
El Salvador,15035.00,408.00,7778.00,6849.00,-88.89653,13.794185,
Equatorial Guinea,3071.00,51.00,842.00,2178.00,10.267895,1.650801,
Eritrea,265.00,0.00,191.00,74.00,39.782334,15.179384,
Estonia,2034.00,69.00,1923.00,42.00,25.013607,58.595272,
Swaziland,2316.00,34.00,1025.00,1257.00,31.465866,-26.522503,
Ethiopia,14547.00,228.00,6386.00,7933.00,40.489673,9.145,
Fiji,27.00,0.00,18.00,9.00,179.414413,-16.578193,
Finland,7398.00,329.00,6920.00,149.00,25.748151,61.92411,
France,220352.00,30212.00,81212.00,108928.00,2.213749,46.227638,
Gabon,7189.00,49.00,4682.00,2458.00,11.609444,-0.803689,
Gambia,326.00,8.00,66.00,252.00,-15.310139,13.443182,
Georgia,1137.00,16.00,922.00,199.00,43.356892,42.315407,
Germany,207112.00,9125.00,190314.00,7673.00,10.451526,51.165691,
Ghana,33624.00,168.00,29801.00,3655.00,-1.023194,7.946527,
Greece,4227.00,202.00,1374.00,2651.00,21.824312,39.074208,
Greenland,14.00,0.00,13.00,1.00,-42.604303,71.706936,
Grenada,23.00,0.00,23.00,0.00,-61.604171,12.262776,
Guatemala,45309.00,1761.00,32455.00,11093.00,-90.230759,15.783471,
Guinea,7055.00,45.00,6257.00,753.00,-9.696645,9.945587,
Guinea-Bissau,1954.00,26.00,803.00,1125.00,-15.180413,11.803749,
Guyana,389.00,20.00,181.00,188.00,-58.93018,4.860416,
Haiti,7340.00,158.00,4365.00,2817.00,-72.285215,18.971187,
Vatican City,12.00,0.00,12.00,0.00,12.453389,41.902916,
Honduras,39741.00,1166.00,5039.00,33536.00,-86.241905,15.199999,
Hungary,4448.00,596.00,3329.00,523.00,19.503304,47.162494,
Iceland,1854.00,10.00,1823.00,21.00,-19.020835,64.963051,
