,INSRR,IGF2,CCL2,PAIPB,SLC27A6,BCAS1,BCAS*,MOBP,MOBP*,MBP,COL1A1,CDH19,ERNM,OPALIN,FGF1
CONTROL 1,0.5546,0.4689,0.9450,0.4416,0.9029,2.9084,0.4836,0.6652,0.5171,0.6419,0.4894,0.3799,1.3866,0.7608,0.5400
CONTROL 2,0.8709,0.9697,0.5160,0.6983,1.0695,2.7107,0.4732,0.5417,0.3726,0.4796,1.0143,0.5864,1.0693,0.7344,0.7314
CONTROL 3,0.4098,0.7156,0.6307,0.7425,0.8805,4.4043,0.7325,1.0771,0.8569,1.0411,0.8546,0.6087,3.0767,1.2207,0.7262
CONTROL 5,0.5617,0.6330,0.4403,0.9074,1.0162,5.2156,0.9807,1.3557,0.9120,1.1352,1.0972,0.9570,3.0682,1.2873,1.3326
CONTROL 6,0.2708,0.3856,1.5174,0.8589,1.0730,9.6475,1.9568,1.1787,0.5418,3.0910,0.9953,1.1906,6.2386,1.1173,2.7066
CONTROL 7,0.7752,0.6577,0.7525,1.0047,1.0022,6.0655,0.9374,0.8506,0.6237,1.1639,1.1298,0.7383,1.7220,1.1685,1.1198
CONTROL 10,0.9806,0.9047,0.9782,0.7219,1.3076,5.0444,0.8639,1.3705,1.0812,1.1644,1.2048,0.8729,2.7316,1.3998,0.9257
CONTROL 11,1.1151,0.8650,0.5460,0.7649,0.8855,3.2205,0.6224,0.7497,0.4652,0.9629,1.1332,0.6771,1.5213,0.9870,0.8551
CONTROL 12,0.6655,0.7671,0.6712,0.7033,1.0603,4.6656,0.8142,1.2864,0.9909,1.1151,1.6282,0.7243,2.4203,0.8257,0.9919
VDS 1,1.4947,1.4060,0.9472,0.9289,1.1914,4.6477,0.8378,1.0472,0.7151,0.9876,1.6644,0.7391,1.8170,0.9471,1.0656
VDS 2,1.3906,1.0124,1.2014,0.8817,0.7821,2.0897,0.4223,0.4672,0.2668,0.4956,1.0673,0.5639,1.0730,0.7694,1.0040
VDS 3,1.1511,1.3089,0.9368,1.2448,1.4887,3.8012,0.7045,0.8248,0.5326,0.5787,1.4001,0.8221,1.4159,0.7123,1.2544
VDS 4,0.7452,0.6736,0.8437,0.7175,0.7434,4.1184,0.7203,0.7281,0.4784,0.8305,0.8866,0.5968,1.9384,1.1565,0.8652
VDS 5,0.8140,0.7281,0.7566,0.8589,1.0940,3.8380,0.5834,0.4287,0.2978,0.7259,0.7154,0.5459,1.7295,0.9420,0.8904
VDS 7,1.4044,1.2506,0.7412,0.8506,0.9228,2.8058,0.5162,0.5199,0.3213,0.5466,1.5414,0.6473,0.8615,0.6504,0.9611
VDS 8,0.6347,0.7772,0.5767,0.9962,0.1986,5.7295,0.9416,1.0213,0.7408,1.2258,0.7149,0.7548,1.9748,1.6414,1.1035
VDS 10,0.6981,1.0405,1.5086,1.1253,1.2732,8.0627,1.3859,1.4171,0.9546,1.6203,1.1168,0.6197,3.0132,1.5869,1.6691
VDS 12,0.6158,0.6906,0.9655,1.0165,0.8712,5.4368,1.0054,0.7384,0.4061,0.7403,0.7101,0.6674,2.0240,0.9948,1.2248
