SPECIES,DIET,DX,SEX,#,CERKL,CHRNA10,FA2H,SMYD1
HUMAN,NORMAL,CONTROL,M,1,1,1,1,1
HUMAN,NORMAL,CONTROL,M,2,1,1,1,1
HUMAN,NORMAL,CONTROL,M,3,1,1,1,1
HUMAN,NORMAL,CONTROL,F,4,1,1,1,1
HUMAN,NORMAL,CONTROL,F,5,1,1,1,1
HUMAN,NORMAL,CONTROL,F,6,1,1,1,1
HUMAN,NORMAL,CONTROL,M,7,1,1,1,1
HUMAN,NORMAL,CONTROL,M,8,1,1,1,1
HUMAN,NORMAL,CONTROL,M,9,1,1,1,1
HUMAN,NORMAL,CONTROL,F,10,1,1,1,1
HUMAN,NORMAL,CONTROL,M,11,1,1,1,1
HUMAN,NORMAL,CONTROL,M,12,1,1,1,1
HUMAN,NORMAL,NICOTINE,M,1,0.335255,0.564004,1.444458,0.128752
HUMAN,NORMAL,NICOTINE,M,2,1.910036,0.592783,1.703583,0.57437
HUMAN,NORMAL,NICOTINE,M,3,0.227776,0.866574,0.852808,0.722309
HUMAN,NORMAL,NICOTINE,F,4,0.286584,0.857943,4.034631,0.450377
HUMAN,NORMAL,NICOTINE,F,5,0.740858,0.752277,2.569487,0.50139
HUMAN,NORMAL,NICOTINE,F,6,0.610776,1.038026,4.701788,0.880688
HUMAN,NORMAL,NICOTINE,M,7,0.254791,0.772956,3.986251,1.278254
HUMAN,NORMAL,NICOTINE,M,8,0.73688,1.272604,2.211213,0.251265
HUMAN,NORMAL,NICOTINE,M,9,0.826398,0.515233,1.196699,0.070322
HUMAN,NORMAL,NICOTINE,F,10,0.280228,0.356133,0.697869,1.075265
HUMAN,NORMAL,NICOTINE,F,11,0.358777,0.545599,0.764651,0.178862
HUMAN,NORMAL,NICOTINE,F,12,0.769555,0.827571,0.623302,0.103738
RAT,NORMAL,CONTROL,F,9,1,1,1,1
RAT,NORMAL,CONTROL,F,10,1,1,1,1
RAT,NORMAL,CONTROL,M,11,1,1,1,1
RAT,NORMAL,CONTROL,M,12,1,1,1,1
RAT,NORMAL,CONTROL,F,13,1,1,1,1
RAT,NORMAL,CONTROL,F,14,1,1,1,1
RAT,NORMAL,CONTROL,F,15,1,1,1,1
RAT,NORMAL,CONTROL,F,16,1,1,1,1
RAT,NORMAL,CONTROL,M,19,1,1,1,1
RAT,NORMAL,CONTROL,M,20,1,1,1,1
RAT,NORMAL,CONTROL,M,21,1,1,1,1
RAT,NORMAL,CONTROL,M,22,1,1,1,1
RAT,NORMAL,NICOTINE,F,1,0.577622,0.404286,1.505225,0.739251
RAT,NORMAL,NICOTINE,F,2,0.689482,1.296508,1.553205,0.615449
RAT,NORMAL,NICOTINE,F,3,0.214217,0.283095,1.500948,1.027345
RAT,NORMAL,NICOTINE,F,4,0.478905,0.846597,1.036922,0.761773
RAT,NORMAL,NICOTINE,M,5,1.018089,0.733422,1.729812,1.073682
RAT,NORMAL,NICOTINE,M,6,0.850806,0.835997,1.187316,1.029982
RAT,NORMAL,NICOTINE,M,7,1.050654,0.564681,1.193444,0.505061
RAT,NORMAL,NICOTINE,M,8,0.854186,1.110924,1.543377,0.782044
RAT,NORMAL,NICOTINE,F,17,0.606863,1.746619,0.945167,1.208447
RAT,NORMAL,NICOTINE,F,18,0.660649,2.196821,0.986818,1.222346
RAT,NORMAL,NICOTINE,M,23,0.561011,0.00128,1.381286,0.00094
RAT,NORMAL,NICOTINE,M,24,0.814147,0.001095,1.718489,0.001054
RAT,HIGH FAT,CONTROL,F,7,1,1,1,1
RAT,HIGH FAT,CONTROL,F,8,1,1,1,1
RAT,HIGH FAT,CONTROL,F,9,1,1,1,1
RAT,HIGH FAT,CONTROL,F,10,1,1,1,1
RAT,HIGH FAT,CONTROL,F,11,1,1,1,1
RAT,HIGH FAT,CONTROL,F,12,1,1,1,1
RAT,HIGH FAT,CONTROL,F,25,1,1,1,1
RAT,HIGH FAT,CONTROL,F,26,1,1,1,1
RAT,HIGH FAT,CONTROL,F,27,1,1,1,1
RAT,HIGH FAT,CONTROL,F,28,1,1,1,1
RAT,HIGH FAT,CONTROL,F,29,1,1,1,1
RAT,HIGH FAT,CONTROL,F,30,1,1,1,1
RAT,HIGH FAT,NICOTINE,M,13,2.112906,0.576276,0.57016,0.96693
RAT,HIGH FAT,NICOTINE,M,14,0.973397,0.631449,0.892806,0.943073
RAT,HIGH FAT,NICOTINE,M,15,1.007861,1.011473,0.562596,1.128691
RAT,HIGH FAT,NICOTINE,M,16,1.230493,1.536418,0.45092,0.735373
RAT,HIGH FAT,NICOTINE,M,17,0.769035,1.38427,0.741727,0.859351
RAT,HIGH FAT,NICOTINE,M,18,1.046745,0.776834,0.904023,0.923041
RAT,HIGH FAT,NICOTINE,M,31,1.385187,0.69209,0.960205,1.407989
RAT,HIGH FAT,NICOTINE,M,32,1.152156428,,0.614359186,0.807955097
RAT,HIGH FAT,NICOTINE,M,33,1.374398,0.908998,0.807774,0.015239
RAT,HIGH FAT,NICOTINE,M,34,1.514041,0.891799,1.122511,0.965594
RAT,HIGH FAT,NICOTINE,M,36,0.721697,0.962962,0.974259,1.661603
