,hBMP5,hCOL1A1,hCOL4A1,hPTGDR,hSDCCAG8,hSLC13A4,hFAM107B,hSLCO1A2,hBCAS1,hCTNNA3,hASB16,hFAM189A1,hCERKL,hCHRNA10,hFA2H,hSMYD1,hCLIC4,hTF,hLRP2
C1,47.6009,0.9286,2.2799,7.7216,6.5699,0.3514,1.2135,0.6624,0.8821,2.6698,1.4070,1.1188,3.1051,2.4954,0.2389,0.3813,0.8811,4.5932,0.1545
C2,9.2421,0.6768,0.9084,2.1926,4.2460,0.3789,0.9294,1.2663,1.2716,1.3553,1.4191,1.6088,1.8907,1.5140,0.2116,1.4137,0.6007,1.2089,0.0675
C3,511.1736,0.0044,1.6882,0.6330,3.4087,0.1239,0.4443,0.3275,0.2969,3.7397,0.5063,0.7694,0.8474,0.4601,0.1548,1.7913,0.4569,0.3819,0.0403
C4,242.0980,0.2582,0.8939,2.2578,2.4097,0.4179,4.0420,2.4097,1.5880,2.5847,1.7184,0.7166,1.5891,1.4900,0.9621,1.8683,2.5359,1.0482,0.4951
C5,98.9037,0.1498,0.8376,1.2853,4.4265,0.2844,0.0001,0.9188,0.0523,4.8703,0.6039,1.3408,1.5259,1.4481,0.3096,1.5726,0.8018,0.8759,0.1488
C6,561.9723,0.0772,0.3418,0.2266,1.0572,0.3752,0.3351,0.4110,0.4615,1.3992,0.3407,0.5456,0.7739,0.3116,0.2005,2.5370,0.4611,0.1550,0.0272
C7,,,0.0000,1.5886,0.7283,,4.0796,4.9824,4.5029,3.4332,1.6902,0.6363,1.1315,1.2304,0.1470,1.6892,4.1225,3.9496,0.3488
C8,,,0.0452,2.4202,2.0975,,2.3768,4.1009,2.4319,8.8367,1.9002,0.6721,1.4472,1.6101,0.0994,3.5752,2.0040,4.9427,0.3264
C9,,,1.0950,0.7361,1.9474,,0.4625,0.5909,0.3792,1.5971,0.5343,0.4748,1.1643,0.4454,0.0304,21.0398,0.7521,0.1432,0.1006
C10,,,0.1660,3.6482,4.7972,,1.9623,4.2160,4.6806,6.3683,2.5674,1.3026,2.6972,2.9049,0.1933,10.4069,1.5970,1.4855,0.4137
C11,,,2.6278,0.8920,3.1432,,0.5673,0.8186,0.4495,0.7811,0.5604,0.8416,0.6325,0.6446,0.0355,15.9749,1.0323,0.1917,0.1331
C12,,,0.0090,0.1307,1.6507,,0.2702,0.3257,0.2943,2.0546,0.3988,0.6117,1.1010,0.3980,0.0215,15.2485,0.4278,0.2838,0.0609
DX1,103.4515,0.9308,0.5046,0.2633,2.0917,0.2243,2.3232,2.5838,1.8947,8.2165,0.7667,0.7425,0.5003,0.7028,0.3135,0.8305,1.6156,0.5719,0.0596
DX2,3905.0720,0.0064,5.0860,1.7965,3.5758,0.6865,1.4378,1.5530,1.7072,11.4049,1.0418,0.9882,2.8501,0.7386,0.3698,3.7047,1.9574,0.9717,0.1608
DX3,4.1547,0.3291,0.3907,0.1132,1.7514,0.3561,0.4274,0.7406,0.5529,2.8380,0.7706,0.8753,0.3399,1.0798,0.1851,4.6589,0.5496,0.2169,0.0217
DX4,3.6279,0.1353,0.5087,0.7707,3.0094,0.2276,3.0970,3.9132,3.1184,6.6638,1.3257,1.0331,0.4276,1.0690,0.8758,2.9049,1.5306,2.5330,0.4950
DX5,3.8557,0.7163,0.5533,0.6966,2.8640,0.1362,1.7504,1.4716,1.1915,1.0721,1.0415,1.4363,1.1055,0.9374,0.5577,3.2340,0.6171,3.2129,0.1566
DX6,160.2851,0.0611,0.9097,1.3469,3.3805,0.4629,4.0396,3.0954,3.3688,6.3459,1.8633,1.4283,0.9114,1.2934,1.0206,5.6804,1.8124,2.2687,0.3831
DX7,37.1036,0.0546,0.6816,0.2951,2.9767,0.1609,1.9651,1.6537,1.0975,1.3463,1.0728,0.9057,0.3802,0.9631,0.8653,8.2447,1.4247,0.4649,0.5384
DX8,0.7667,1.2659,3.0330,2.0453,2.9160,0.3603,0.7350,1.1636,0.6290,0.9358,1.7912,1.4079,1.0995,1.5857,0.4800,1.6207,1.0116,0.9740,0.1133
DX9,2282.8936,0.0064,1.1987,0.8397,3.4050,0.2821,0.5708,0.3176,0.2815,5.4090,0.7267,0.7896,1.2331,0.6420,0.2598,0.4536,0.7420,0.6631,0.0752
DX10,134.8951,0.0134,0.8087,0.2505,,0.1467,0.3402,0.5009,0.3035,1.4930,0.3720,1.4998,0.4181,0.4438,0.1515,6.9355,0.2549,0.0618,0.0556
DX11,1.5497,0.1018,0.3181,0.0805,1.8331,0.1247,0.6103,0.6050,0.7851,0.8055,0.6144,0.5477,0.5354,0.6798,0.1660,1.1537,0.5271,0.6705,0.0179
DX12,651.5779,0.1865,1.1953,0.7793,1.2848,0.1736,0.1775,0.1684,0.5515,0.9656,0.5979,0.7844,1.1483,1.0312,0.1353,0.6691,0.4268,0.3792,0.0305
