SPECIES,DIET,DX,SEX,#,CERKL,CHRNA10,FA2H,SMYD1
RAT,NORMAL,NICOTINE,F,1,0.812029,0.520688,1.00901,0.671317
RAT,NORMAL,NICOTINE,F,2,0.969283,1.669798,1.041172,0.558893
RAT,NORMAL,NICOTINE,F,3,0.30115,0.364604,1.006143,0.932937
RAT,NORMAL,NICOTINE,F,4,0.673252,1.090349,0.695088,0.69177
RAT,NORMAL,NICOTINE,M,5,1.431244,0.944589,1.159559,0.975016
RAT,NORMAL,NICOTINE,M,6,1.196076,1.076696,0.795903,0.935331
RAT,NORMAL,NICOTINE,M,7,1.477023,0.727264,0.800011,0.458648
RAT,NORMAL,NICOTINE,M,8,1.200826,1.43078,1.034584,0.710178
RAT,NORMAL,CONTROL,F,9,2.097516,0.713781,0.551256,0.298274
RAT,NORMAL,CONTROL,F,10,1.241884,0.407195,0.708256,0.699332
RAT,NORMAL,CONTROL,M,11,1.391468,1.866651,5.09E-01,1.186301
RAT,NORMAL,CONTROL,M,12,0.892387,2.164047,0.912344,1.448513
RAT,NORMAL,CONTROL,F,13,1.113445,0.614889,1.007276,1.117523
RAT,NORMAL,CONTROL,F,14,1.012057,1.955251,1.1035,1.127424
RAT,NORMAL,CONTROL,F,15,1.111118,1.12574,1.131953,1.098152
RAT,NORMAL,CONTROL,F,16,1.422484,1.542578,0.728874,0.69043
RAT,NORMAL,NICOTINE,F,17,0.999965,1.73831,0.938456,1.063433
RAT,NORMAL,NICOTINE,F,18,1.08859,2.186371,0.979811,1.075664
RAT,NORMAL,CONTROL,M,19,0.841782,0.632704,1.196146,0.716538
RAT,NORMAL,CONTROL,M,20,0.645015,0.705673,0.822398,0.616512
RAT,NORMAL,CONTROL,M,21,1.367268,0.851075,0.885768,0.608489
RAT,NORMAL,CONTROL,M,22,1.156642,0.534035,0.908128,0.904228
RAT,NORMAL,NICOTINE,M,23,0.562513,0.001242,1.312222,0.000828
RAT,NORMAL,NICOTINE,M,24,0.816326,0.000992,1.632564,0.000928
RAT,HIGH FAT,CONTROL,F,7,0.438819,1.147354,1.222441,0.545877
RAT,HIGH FAT,CONTROL,F,8,0.404077,1.179507,0.784854,0.986503
RAT,HIGH FAT,CONTROL,F,9,0.362794,1.373298,0.700563,0.773936
RAT,HIGH FAT,CONTROL,F,10,0.383685,1.965929,0.669044,0.51997
RAT,HIGH FAT,CONTROL,F,11,0.388282,1.369215,0.453919,0.595133
RAT,HIGH FAT,CONTROL,F,12,0.665526,0.682903,0.256957,0.254278
RAT,HIGH FAT,CONTROL,F,25,0.320145,1.040181,0.907907,0.871098
RAT,HIGH FAT,CONTROL,F,26,0.261443,0.72273,0.83316,0.919643
RAT,HIGH FAT,CONTROL,F,27,0.207499,0.695128,0.843037,0.853682
RAT,HIGH FAT,CONTROL,F,28,0.249532,0.948752,1.095254,1.249276
RAT,HIGH FAT,CONTROL,F,29,0.289924,0.756202,0.557323,0.431173
RAT,HIGH FAT,CONTROL,F,30,0.323275,1.316894,0.598364,0.701164
RAT,HIGH FAT,NICOTINE,M,13,0.756245,0.633812,0.423953,0.683864
RAT,HIGH FAT,NICOTINE,M,14,0.348395,0.694493,0.663863,0.818464
RAT,HIGH FAT,NICOTINE,M,15,0.360731,1.11246,0.418329,0.533252
RAT,HIGH FAT,NICOTINE,M,16,0.440414,1.689815,0.33529,0.623153
RAT,HIGH FAT,NICOTINE,M,17,0.275251,1.522477,0.551526,0.669337
RAT,HIGH FAT,NICOTINE,M,18,0.374648,0.854393,0.672204,1.020995
RAT,HIGH FAT,NICOTINE,M,31,0.495782,0.761189,0.713979,0.585884
RAT,HIGH FAT,NICOTINE,M,32,0.412376,#VALUE!,0.456818,0.01105
RAT,HIGH FAT,NICOTINE,M,33,0.49192,0.999754,0.600636,0.700195
RAT,HIGH FAT,NICOTINE,M,34,0.541901,0.980838,0.834664,1.204902
RAT,HIGH FAT,NICOTINE,M,36,0.258308,1.059105,0.724429,0.772401
