SPECIES,SUBJECT,SEX,DX,CERKL,CHRNA10,FA2H,SMYD1,CLIC4,COL4A1,FAM189A1,PTGDR,SDCCAG8,TF
HUMAN,1,M,CONTROL,3.1051,2.4954,0.2389,0.3813,0.8811,2.2799,1.1188,7.7216,6.5699,4.5932
HUMAN,2,M,CONTROL,1.8907,1.5140,0.2116,1.4137,0.6007,0.9084,1.6088,2.1926,4.2460,1.2089
HUMAN,3,M,CONTROL,0.8474,0.4601,0.1548,1.7913,0.4569,1.6882,0.7694,0.6330,3.4087,0.3819
HUMAN,4,F,CONTROL,1.5891,1.4900,0.9621,1.8683,2.5359,0.8939,0.7166,2.2578,2.4097,1.0482
HUMAN,5,F,CONTROL,1.5259,1.4481,0.3096,1.5726,0.8018,0.8376,1.3408,1.2853,4.4265,0.8759
HUMAN,6,F,CONTROL,0.7739,0.3116,0.2005,2.5370,0.4611,0.3418,0.5456,0.2266,1.0572,0.1550
HUMAN,7,M,CONTROL,1.1315,1.2304,0.1470,1.6892,4.1225,0.0000,0.6363,1.5886,0.7283,3.9496
HUMAN,8,M,CONTROL,1.4472,1.6101,0.0994,3.5752,2.0040,0.0452,0.6721,2.4202,2.0975,4.9427
HUMAN,9,M,CONTROL,1.1643,0.4454,0.0304,21.0398,0.7521,1.0950,0.4748,0.7361,1.9474,0.1432
HUMAN,10,F,CONTROL,2.6972,2.9049,0.1933,10.4069,1.5970,0.1660,1.3026,3.6482,4.7972,1.4855
HUMAN,11,M,CONTROL,0.6325,0.6446,0.0355,15.9749,1.0323,2.6278,0.8416,0.8920,3.1432,0.1917
HUMAN,12,M,CONTROL,1.1010,0.3980,0.0215,15.2485,0.4278,0.0090,0.6117,0.1307,1.6507,0.2838
HUMAN,1,M,NICOTINE,0.5003,0.7028,0.3135,0.8305,1.6156,0.5046,0.7425,0.2633,2.0917,0.5719
HUMAN,2,M,NICOTINE,2.8501,0.7386,0.3698,3.7047,1.9574,5.0860,0.9882,1.7965,3.5758,0.9717
HUMAN,3,M,NICOTINE,0.3399,1.0798,0.1851,4.6589,0.5496,0.3907,0.8753,0.1132,1.7514,0.2169
HUMAN,4,F,NICOTINE,0.4276,1.0690,0.8758,2.9049,1.5306,0.5087,1.0331,0.7707,3.0094,2.5330
HUMAN,5,F,NICOTINE,1.1055,0.9374,0.5577,3.2340,0.6171,0.5533,1.4363,0.6966,2.8640,3.2129
HUMAN,6,F,NICOTINE,0.9114,1.2934,1.0206,5.6804,1.8124,0.9097,1.4283,1.3469,3.3805,2.2687
HUMAN,7,M,NICOTINE,0.3802,0.9631,0.8653,8.2447,1.4247,0.6816,0.9057,0.2951,2.9767,0.4649
HUMAN,8,M,NICOTINE,1.0995,1.5857,0.4800,1.6207,1.0116,3.0330,1.4079,2.0453,2.9160,0.9740
