SPECIES,SUBJECT,SEX,DX,CERKL,CHRNA10,FA2H,SMYD1,CLIC4,COL4A1,FAM189A1,PTGDR,SDCCAG8,TF
RAT,1,F,NICOTINE,0.812,0.521,1.009,0.671,1.301,0.633,0.085,1.638,1.119,1.988
RAT,1,F,NICOTINE,0.578,0.404,1.505,0.739,1.301,0.728,1.925,1.244,1.293,1.285
RAT,2,F,NICOTINE,0.969,1.670,1.041,0.559,0.883,0.895,0.037,0.796,1.021,1.832
RAT,2,F,NICOTINE,0.689,1.297,1.553,0.615,0.883,1.028,0.829,0.605,1.180,1.184
RAT,3,F,NICOTINE,0.301,0.365,1.006,0.933,0.887,0.671,0.119,0.806,0.849,2.301
RAT,3,F,NICOTINE,0.214,0.283,1.501,1.027,0.887,0.770,2.683,0.613,0.981,1.487
RAT,4,F,NICOTINE,0.673,1.090,0.695,0.692,0.702,0.725,0.078,1.426,0.907,1.547
RAT,4,F,NICOTINE,0.479,0.847,1.037,0.762,0.702,0.833,1.774,1.083,1.048,1.000
RAT,5,M,NICOTINE,1.431,0.945,1.160,0.975,1.231,1.183,0.035,1.222,0.957,2.283
RAT,5,M,NICOTINE,1.018,0.733,1.730,1.074,1.231,1.359,0.793,0.928,1.106,1.475
RAT,6,M,NICOTINE,1.196,1.077,0.796,0.935,0.802,0.825,0.032,0.848,0.961,1.787
RAT,6,M,NICOTINE,0.851,0.836,1.187,1.030,0.802,0.948,0.730,0.644,1.111,1.155
RAT,7,M,NICOTINE,1.477,0.727,0.800,0.459,1.181,0.838,0.037,1.401,0.975,1.950
RAT,7,M,NICOTINE,1.051,0.565,1.193,0.505,1.181,0.963,0.833,1.064,1.127,1.261
RAT,8,M,NICOTINE,1.201,1.431,1.035,0.710,1.217,0.876,0.050,1.937,0.889,1.752
RAT,8,M,NICOTINE,0.854,1.111,1.543,0.782,1.217,1.007,1.132,1.471,1.027,1.132
RAT,9,F,CONTROL,2.098,0.714,0.551,0.298,0.778,0.915,0.048,1.831,0.977,1.288
RAT,9,F,CONTROL,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
RAT,10,F,CONTROL,1.242,0.407,0.708,0.699,1.084,0.793,0.063,1.034,1.003,1.335
RAT,10,F,CONTROL,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
RAT,11,M,CONTROL,1.391,1.867,0.509,1.186,0.996,0.888,0.045,1.611,0.726,1.424
RAT,11,M,CONTROL,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
RAT,12,M,CONTROL,0.892,2.164,0.912,1.449,1.143,0.885,0.021,0.789,0.755,2.142
RAT,12,M,CONTROL,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
RAT,13,F,CONTROL,1.113,0.615,1.007,1.118,,,,,,
RAT,13,F,CONTROL,1.000,1.000,1.000,1.000,,,,,,
RAT,14,F,CONTROL,1.012,1.955,1.103,1.127,,,,,,
RAT,14,F,CONTROL,1.000,1.000,1.000,1.000,,,,,,
RAT,15,F,CONTROL,1.111,1.126,1.132,1.098,,,,,,
RAT,15,F,CONTROL,1.000,1.000,1.000,1.000,,,,,,
RAT,16,F,CONTROL,1.422,1.543,0.729,0.690,,,,,,
RAT,16,F,CONTROL,1.000,1.000,1.000,1.000,,,,,,
RAT,17,F,NICOTINE,1.000,1.738,0.938,1.063,,,,,,
RAT,17,F,NICOTINE,0.607,1.747,0.945,1.208,,,,,,
RAT,18,F,NICOTINE,1.089,2.186,0.980,1.076,,,,,,
RAT,18,F,NICOTINE,0.661,2.197,0.987,1.222,,,,,,
RAT,19,M,CONTROL,0.842,0.633,1.196,0.717,,,,,,
RAT,19,M,CONTROL,1.000,1.000,1.000,1.000,,,,,,
RAT,20,M,CONTROL,0.645,0.706,0.822,0.617,,,,,,
RAT,20,M,CONTROL,1.000,1.000,1.000,1.000,,,,,,
RAT,21,M,CONTROL,1.367,0.851,0.886,0.608,,,,,,
RAT,21,M,CONTROL,1.000,1.000,1.000,1.000,,,,,,
RAT,22,M,CONTROL,1.157,0.534,0.908,0.904,,,,,,
RAT,22,M,CONTROL,1.000,1.000,1.000,1.000,,,,,,
RAT,23,M,NICOTINE,0.563,0.001,1.312,0.001,,,,,,
RAT,23,M,NICOTINE,0.561,0.001,1.381,0.001,,,,,,
RAT,24,M,NICOTINE,0.816,0.001,1.633,0.001,,,,,,
RAT,24,M,NICOTINE,0.814,0.001,1.718,0.001,,,,,,
