SPECIES,SUBJECT,SEX,DX,CERKL,CHRNA10,FA2H,SMYD1,CLIC4,COL4A1,FAM189A1,PTGDR,SDCCAG8,TF
RAT,1,F,NICOTINE,0.812029,0.5207,1.009,0.671,1.301,0.633,0.085,1.638,1.119,1.988
RAT,2,F,NICOTINE,0.969283,1.6698,1.041,0.559,0.883,0.895,0.037,0.796,1.021,1.832
RAT,3,F,NICOTINE,0.30115,0.3646,1.006,0.933,0.887,0.671,0.119,0.806,0.849,2.301
RAT,4,F,NICOTINE,0.673252,1.0903,0.695,0.692,0.702,0.725,0.078,1.426,0.907,1.547
RAT,5,M,NICOTINE,1.431244,0.9446,1.16,0.975,1.231,1.183,0.035,1.222,0.957,2.283
RAT,6,M,NICOTINE,1.196076,1.0767,0.796,0.935,0.802,0.825,0.032,0.848,0.961,1.787
RAT,7,M,NICOTINE,1.477023,0.7273,0.8,0.459,1.181,0.838,0.037,1.401,0.975,1.95
RAT,8,M,NICOTINE,1.200826,1.4308,1.035,0.71,1.217,0.876,0.05,1.937,0.889,1.752
RAT,9,F,CONTROL,2.097516,0.7138,0.551,0.298,0.778,0.915,0.048,1.831,0.977,1.288
RAT,10,F,CONTROL,1.241884,0.4072,0.708,0.699,1.084,0.793,0.063,1.034,1.003,1.335
RAT,11,M,CONTROL,1.391468,1.8667,0.509,1.186,0.996,0.888,0.045,1.611,0.726,1.424
RAT,12,M,CONTROL,0.892387,2.164,0.912,1.449,1.143,0.885,0.021,0.789,0.755,2.142
RAT,13,F,CONTROL,1.113445,0.6149,1.007,1.118,,,,,,
RAT,14,F,CONTROL,1.012057,1.9553,1.104,1.127,,,,,,
RAT,15,F,CONTROL,1.111118,1.1257,1.132,1.098,,,,,,
RAT,16,F,CONTROL,1.422484,1.5426,0.729,0.69,,,,,,
RAT,17,F,NICOTINE,0.999965,1.7383,0.938,1.063,,,,,,
RAT,18,F,NICOTINE,1.08859,2.1864,0.98,1.076,,,,,,
RAT,19,M,CONTROL,0.841782,0.6327,1.196,0.717,,,,,,
RAT,20,M,CONTROL,0.645015,0.7057,0.822,0.617,,,,,,
RAT,21,M,CONTROL,1.367268,0.8511,0.886,0.608,,,,,,
RAT,22,M,CONTROL,1.156642,0.534,0.908,0.904,,,,,,
RAT,23,M,NICOTINE,0.562513,0.0012,1.312,0.001,,,,,,
RAT,24,M,NICOTINE,0.816326,0.001,1.633,0.001,,,,,,
