PLATE,WELL,Target Name,SAMPLE,GENEID,CT
1,A1,INSRR,100%,INSRR1,29.5760
1,A2,INSRR,10%,INSRR0.1,32.3810
1,A3,INSRR,1%,INSRR0.01,36.3370
1,A4,INSRR,0.10%,INSRR0.001,Undetermined
1,A5,INSRR,C1,INSRRC1,30.1750
1,A6,INSRR,C2,INSRRC2,29.7200
1,A7,INSRR,C3,INSRRC3,31.2400
1,A8,INSRR,C5,INSRRC5,31.8240
1,A9,INSRR,C6,INSRRC6,34.3120
1,A10,INSRR,C7,INSRRC7,30.2910
1,A11,INSRR,C10,INSRRC10,30.3390
1,A12,INSRR,C11,INSRRC11,30.2720
1,B5,INSRR,C12,INSRRC12,30.9210
1,B6,INSRR,V1,INSRRV1,29.9270
1,B7,INSRR,V2,INSRRV2,29.5950
1,B8,INSRR,V3,INSRRV3,30.1980
1,B9,INSRR,V4,INSRRV4,30.5830
1,B10,INSRR,V5,INSRRV5,29.4320
1,B11,INSRR,V7,INSRRV7,29.4050
1,B12,INSRR,V8,INSRRV8,30.9040
1,C5,INSRR,V10,INSRRV10,31.5620
1,C6,INSRR,V12,INSRRV12,31.6410
1,D1,GAPDH,100%,GAPDH1,14.9710
1,D2,GAPDH,10%,GAPDH0.1,17.7530
1,D3,GAPDH,1%,GAPDH0.01,21.1390
1,D4,GAPDH,0.10%,GAPDH0.001,24.7670
1,D5,GAPDH,C1,GAPDHC1,14.6760
1,D6,GAPDH,C2,GAPDHC2,14.8820
1,D7,GAPDH,C3,GAPDHC3,15.2700
1,D8,GAPDH,C5,GAPDHC5,16.2830
1,D9,GAPDH,C6,GAPDHC6,17.6380
1,D10,GAPDH,C7,GAPDHC7,15.2660
1,D11,GAPDH,C10,GAPDHC10,15.6480
1,D12,GAPDH,C11,GAPDHC11,15.7670
1,E5,GAPDH,C12,GAPDHC12,15.6550
1,E6,GAPDH,V1,GAPDHV1,15.8530
1,E7,GAPDH,V2,GAPDHV2,15.4300
1,E8,GAPDH,V3,GAPDHV3,15.7410
1,E9,GAPDH,V4,GAPDHV4,15.4910
1,E10,GAPDH,V5,GAPDHV5,14.5080
1,E11,GAPDH,V7,GAPDHV7,15.2610
1,E12,GAPDH,V8,GAPDHV8,15.5710
1,F5,GAPDH,V10,GAPDHV10,16.3410
1,F6,GAPDH,V12,GAPDHV12,16.2380
2,A1,IGF2,100%,IGF21,22.0550
2,A2,IGF2,10%,IGF20.1,25.1170
2,A3,IGF2,1%,IGF20.01,28.6210
2,A4,IGF2,0.10%,IGF20.001,32.0790
2,A5,IGF2,C1,IGF2C1,22.9830
2,A6,IGF2,C2,IGF2C2,22.1330
2,A7,IGF2,C3,IGF2C3,22.9730
2,A8,IGF2,C5,IGF2C5,24.1870
2,A9,IGF2,C6,IGF2C6,26.2950
2,A10,IGF2,C7,IGF2C7,23.0920
2,A11,IGF2,C10,IGF2C10,23.0170
2,A12,IGF2,C11,IGF2C11,23.2040
2,B5,IGF2,C12,IGF2C12,23.2650
2,B6,IGF2,V1,IGF2V1,22.5830
2,B7,IGF2,V2,IGF2V2,22.6300
2,B8,IGF2,V3,IGF2V3,22.5730
2,B9,IGF2,V4,IGF2V4,23.2870
2,B10,IGF2,V5,IGF2V5,22.1690
2,B11,IGF2,V7,IGF2V7,22.1490
2,B12,IGF2,V8,IGF2V8,23.1600
2,C5,IGF2,V10,IGF2V10,23.5210
2,C6,IGF2,V12,IGF2V12,24.0140
2,D1,CCL2,100%,CCL21,30.8810
2,D2,CCL2,10%,CCL20.1,33.7820
2,D3,CCL2,1%,CCL20.01,37.1570
2,D4,CCL2,0.10%,CCL20.001,Undetermined
2,D5,CCL2,C1,CCL2C1,30.8270
2,D6,CCL2,C2,CCL2C2,31.8500
2,D7,CCL2,C3,CCL2C3,31.9470
2,D8,CCL2,C5,CCL2C5,33.4060
2,D9,CCL2,C6,CCL2C6,33.0120
2,D10,CCL2,C7,CCL2C7,31.7020
2,D11,CCL2,C10,CCL2C10,31.7090
2,D12,CCL2,C11,CCL2C11,32.6190
2,E5,CCL2,C12,CCL2C12,32.2300
2,E6,CCL2,V1,CCL2V1,31.9490
2,E7,CCL2,V2,CCL2V2,31.2200
2,E8,CCL2,V3,CCL2V3,31.8570
2,E9,CCL2,V4,CCL2V4,31.7610
2,E10,CCL2,V5,CCL2V5,30.9700
2,E11,CCL2,V7,CCL2V7,31.7180
2,E12,CCL2,V8,CCL2V8,32.3570
2,F5,CCL2,V10,CCL2V10,31.7800
2,F6,CCL2,V12,CCL2V12,32.2910
3,A1,BCAS1,100%,BCAS11,28.9980
3,A2,BCAS1,10%,BCAS10.1,27.7220
3,A3,BCAS1,1%,BCAS10.01,31.8770
3,A4,BCAS1,0.10%,BCAS10.001,34.1450
3,A5,BCAS1,C1,BCAS1C1,25.6340
3,A6,BCAS1,C2,BCAS1C2,25.8720
3,A7,BCAS1,C3,BCAS1C3,25.6350
3,A8,BCAS1,C5,BCAS1C5,26.2340
3,A9,BCAS1,C6,BCAS1C6,26.6040
3,A10,BCAS1,C7,BCAS1C7,25.2770
3,A11,BCAS1,C10,BCAS1C10,25.7780
3,A12,BCAS1,C11,BCAS1C11,26.3680
3,B5,BCAS1,C12,BCAS1C12,25.8700
3,B6,BCAS1,V1,BCAS1V1,26.0280
3,B7,BCAS1,V2,BCAS1V2,26.5860
3,B8,BCAS1,V3,BCAS1V3,26.1640
3,B9,BCAS1,V4,BCAS1V4,25.8810
3,B10,BCAS1,V5,BCAS1V5,25.1960
3,B11,BCAS1,V7,BCAS1V7,26.1280
3,B12,BCAS1,V8,BCAS1V8,25.5770
3,C5,BCAS1,V10,BCAS1V10,25.7960
3,C6,BCAS1,V12,BCAS1V12,26.1530
3,D1,MOBP,100%,MOBP1,30.1330
3,D2,MOBP,10%,MOBP0.1,25.8320
3,D3,MOBP,1%,MOBP0.01,29.3060
3,D4,MOBP,0.10%,MOBP0.001,32.2680
3,D5,MOBP,C1,MOBPC1,23.5620
3,D6,MOBP,C2,MOBPC2,24.2230
3,D7,MOBP,C3,MOBPC3,23.4370
3,D8,MOBP,C5,MOBPC5,24.3430
3,D9,MOBP,C6,MOBPC6,26.4010
