Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
0.000000,22.662500,25.000000,1.000001,58.000000,2390.000000,1017243.375000,34167.125000,59631046.875000,56656.250000,59787.500000,0.000052,1017817.015191,0.033588,0.020667,0.020664,3366.767635,3367.822177,299.732203,1.697535,301.429738,0.089458,69.638363,67.645372,1.996563,0.292939,0.002013,0.746230,0.000482,1257659.104513,8644.077097,0.011030,0.000007,0.015101,0.050126,64832.147269,0.000741,87551424.953532,19647858.126402,0.224415,3127051.264847,13934231.017896,14280799.826098,32426453.686493,7276984.491260,89728982.722135,33232956.563754, 
0.132066,23.125000,25.000000,1.000001,58.000000,2390.000000,1017236.875000,34199.625000,59632048.125000,56655.250000,59789.000000,0.000052,1017811.610373,0.033620,0.020699,0.020696,3366.785514,3367.837829,299.701206,1.697535,301.398742,0.089448,69.746991,67.753970,1.996563,0.293070,0.002144,0.746262,0.000513,1258221.757041,9206.729625,0.011031,0.000008,0.015099,0.050125,64825.179393,0.000741,87542421.953992,19679400.714274,0.224798,3132071.419648,13932798.147152,14280501.937504,32423119.242219,7288666.931213,89727111.031414,33232263.344968, 
0.294035,23.550000,25.000000,1.000001,58.000000,2390.000000,1017296.625000,34035.625000,59632902.875000,56659.500000,59792.000000,0.000052,1017865.829570,0.033457,0.020536,0.020533,3366.606173,3367.669674,299.493227,1.697535,301.190762,0.089391,69.194044,67.200997,1.996563,0.293182,0.002256,0.746289,0.000540,1258702.097898,9687.070482,0.011031,0.000008,0.015090,0.050128,64783.679944,0.000741,87482013.524562,19518787.540316,0.223118,3106509.059337,13923183.854620,14265533.540155,32400745.749838,7229180.570487,89633061.742616,33197430.275043, 
0.423505,23.837500,25.000000,1.000001,58.000000,2390.000000,1017421.250000,34023.750000,59634143.250000,56659.125000,59791.625000,0.000052,1017989.987925,0.033441,0.020520,0.020517,3366.195568,3367.259813,299.025573,1.697535,300.723108,0.089263,69.132526,67.139441,1.996563,0.293344,0.002419,0.746327,0.000579,1259399.170044,10384.142628,0.011032,0.000009,0.015068,0.050134,64690.960601,0.000741,87346181.624890,19500908.547611,0.223260,3103663.531525,13901565.553483,14243814.522616,32350437.638848,7222558.721338,89496597.022628,33146887.786158, 
0.552196,24.000000,25.000000,1.000001,58.000000,2390.000000,1017413.250000,33829.000000,59635975.000000,56660.375000,59792.875000,0.000052,1017975.501924,0.033250,0.020329,0.020326,3366.243469,3367.320907,299.001316,1.697535,300.698852,0.089254,68.490212,66.497072,1.996563,0.293584,0.002659,0.746385,0.000636,1260428.635792,11413.608376,0.011032,0.000009,0.015067,0.050134,64684.569533,0.000741,87339136.198921,19314329.852979,0.221142,3073968.633521,13900444.240002,14236278.770426,32347828.221823,7153455.501103,89449248.457678,33129351.280621, 
0.698562,24.187500,25.000000,1.000001,58.000000,2390.000000,1017506.875000,33909.125000,59637345.375000,56661.500000,59794.500000,0.000052,1018071.740807,0.033326,0.020405,0.020402,3365.925257,3366.997232,298.613784,1.697535,300.311319,0.089148,68.738421,66.745239,1.996563,0.293764,0.002838,0.746428,0.000679,1261198.841960,12183.814545,0.011033,0.000010,0.015049,0.050139,64607.413010,0.000741,87226576.028512,19386410.955419,0.222253,3085440.688190,13882529.746677,14221271.968699,32306139.269819,7180152.205711,89354957.866870,33094428.839581, 
0.864694,24.275000,25.000000,1.000001,58.000000,2390.000000,1017605.875000,33686.875000,59638653.125000,56665.625000,59797.000000,0.000052,1018163.308307,0.033104,0.020183,0.020180,3365.622545,3366.709416,298.265027,1.697535,299.962562,0.089052,67.986443,65.993221,1.996563,0.293935,0.003009,0.746469,0.000720,1261933.881294,12918.853879,0.011034,0.000011,0.015032,0.050143,64537.897111,0.000741,87125278.011876,19167984.596834,0.220005,3050677.081059,13866407.679375,14198024.249294,32268621.485880,7099253.554383,89208888.022165,33040328.897098, 
0.993906,24.300000,25.000000,1.000001,58.000000,2390.000000,1017636.125000,33755.375000,59639777.625000,56666.625000,59797.375000,0.000052,1018195.810366,0.033170,0.020249,0.020247,3365.515111,3366.597374,298.100580,1.697535,299.798115,0.089006,68.207445,66.214190,1.996563,0.294082,0.003156,0.746504,0.000756,1262565.946550,13550.919134,0.011034,0.000011,0.015025,0.050145,64504.661447,0.000741,87077513.782016,19232165.768447,0.220863,3060891.823682,13858805.772112,14192799.448503,32250931.030376,7123024.358684,89176059.604595,33028170.223924, 
1.139756,24.300000,25.729249,1.000001,58.000000,2390.000000,1017684.625000,33744.875000,59641078.375000,56665.875000,59799.625000,0.000052,1018243.935681,0.033158,0.020237,0.020235,3365.356046,3366.438985,297.881571,1.697535,299.579106,0.088945,68.164186,66.170891,1.996563,0.294252,0.003327,0.746545,0.000796,1263297.107269,14282.079854,0.011035,0.000012,0.015014,0.050147,64460.570615,0.000741,87013901.872043,19219589.529775,0.220880,3058890.254718,13848681.630220,14182481.887371,32227371.063719,7118366.492509,89111232.404734,33004160.149901, 
1.285345,24.300000,26.457197,1.000001,58.000000,2390.000000,1017664.125000,33691.125000,59641895.375000,56668.250000,59799.750000,0.000052,1018221.667033,0.033106,0.020185,0.020183,3365.429647,3366.516199,297.920707,1.697535,299.618242,0.088955,67.990218,65.996899,1.996563,0.294359,0.003434,0.746570,0.000822,1263756.364003,14741.336587,0.011035,0.000012,0.015016,0.050146,64467.513686,0.000741,87025269.147193,19169052.627773,0.220270,3050847.063327,13850490.786817,14182516.096924,32231581.165627,7099649.121397,89111447.349864,33004239.759209, 
1.415336,24.300000,27.107150,1.000001,58.000000,2390.000000,1017760.500000,33644.500000,59642609.750000,56668.125000,59800.750000,0.000052,1018316.447741,0.033057,0.020136,0.020134,3365.116407,3366.206016,297.577229,1.697535,299.274764,0.088861,67.819213,65.825872,1.996563,0.294453,0.003527,0.746593,0.000844,1264157.942250,15142.914834,0.011036,0.000012,0.015000,0.050151,64399.539683,0.000741,86925504.619817,19119377.359714,0.219951,3042941.005129,13834612.781718,14165309.766495,32194631.340673,7081250.873968,89003336.701682,32964198.778401, 
1.548448,24.625000,27.772710,1.000001,58.000000,2390.000000,1017733.125000,33675.875000,59642840.375000,56669.125000,59801.750000,0.000052,1018290.124807,0.033089,0.020168,0.020165,3365.203395,3366.290926,297.651390,1.697535,299.348925,0.088881,67.927678,65.934330,1.996563,0.294483,0.003557,0.746600,0.000852,1264287.587547,15272.560131,0.011036,0.000013,0.015004,0.050150,64413.874076,0.000741,86947044.974400,19150879.359647,0.220259,3047954.700164,13838041.032910,14169735.617955,32202609.249778,7092918.281351,89031145.168576,32974498.210584, 
1.693778,25.225000,28.499362,1.000001,58.000000,2390.000000,1018052.875000,33596.125000,59643638.625000,56669.125000,59805.500000,0.000052,1018607.066494,0.033000,0.020079,0.020077,3364.156305,3365.248958,296.572217,1.697535,298.269752,0.088588,67.608096,65.614723,1.996563,0.294588,0.003662,0.746625,0.000877,1264736.329151,15721.301735,0.011036,0.000013,0.014954,0.050165,64201.519921,0.000742,86633594.913047,19058048.394555,0.219985,3033180.204902,13788153.945752,14117838.764739,32086516.634462,7058536.442428,88705067.364651,32853728.653574, 
1.857305,26.025000,29.316994,1.000001,58.000000,2390.000000,1018452.250000,33502.250000,59644320.000000,56670.375000,59803.000000,0.000052,1019003.133599,0.032895,0.019974,0.019972,3362.848722,3363.947346,295.238847,1.697535,296.936382,0.088226,67.228387,65.234994,1.996563,0.294677,0.003751,0.746646,0.000898,1265119.377597,16104.350181,0.011036,0.000013,0.014893,0.050185,63939.234597,0.000742,86246312.401043,18947754.536101,0.219694,3015626.406041,13726516.068421,14053869.431492,31943078.667053,7017686.865223,88303135.871489,32704865.137588, 
1.985997,26.912500,29.960453,1.000001,58.000000,2390.000000,1019173.125000,33241.875000,59645260.625000,56666.750000,59805.625000,0.000052,1019715.097944,0.032617,0.019696,0.019693,3360.500783,3361.616001,292.863658,1.697535,294.561193,0.087581,66.244883,64.251462,1.996563,0.294800,0.003874,0.746676,0.000927,1265648.182048,16633.154632,0.011037,0.000014,0.014784,0.050220,63471.751971,0.000742,85556429.667292,18662083.827040,0.218126,2970160.536614,13616717.908169,13936888.469235,31687566.543441,6911882.898904,87568122.225966,32432637.861469, 
2.149265,27.800000,30.776797,1.000001,58.000000,2390.000000,1019828.125000,33291.375000,59645925.125000,56670.625000,59806.625000,0.000052,1020371.363862,0.032644,0.019723,0.019721,3358.339431,3359.450967,290.667650,1.697535,292.365185,0.086984,66.294867,64.301425,1.996563,0.294887,0.003961,0.746696,0.000948,1266021.762832,17006.735416,0.011037,0.000014,0.014683,0.050253,63039.138010,0.000743,84918590.806330,18676595.842623,0.219935,2972470.193799,13515202.780967,13838218.283568,31451329.928271,6917257.719490,86948158.674015,32203021.731117, 
2.276917,28.700000,31.415053,1.000001,58.000000,2390.000000,1020476.875000,33123.875000,59646477.125000,56667.750000,59809.625000,0.000052,1021014.320911,0.032459,0.019539,0.019536,3356.224604,3357.346522,288.537474,1.697535,290.235009,0.086404,65.632662,63.639203,1.996563,0.294959,0.004034,0.746714,0.000965,1266332.102239,17317.074823,0.011037,0.000014,0.014585,0.050284,62619.040522,0.000743,84299873.048542,18484251.047648,0.219268,2941857.593151,13416730.869442,13735472.082219,31222175.203164,6846018.906536,86302584.739930,31963920.274048, 
2.407427,29.450000,32.067607,1.000001,58.000000,2390.000000,1021298.500000,33022.000000,59647412.750000,56668.375000,59811.000000,0.000052,1021832.216455,0.032333,0.019413,0.019410,3353.538213,3354.666050,285.813388,1.697535,287.510924,0.085661,65.158064,63.164578,1.996563,0.295082,0.004156,0.746743,0.000995,1266858.131403,17843.103987,0.011038,0.000015,0.014460,0.050325,62080.850835,0.000744,83508651.866750,18346394.188396,0.219695,2919917.009942,13290804.207036,13607769.538565,30929130.321019,6794960.810517,85500205.358339,31666742.725311, 
2.538978,30.175000,32.725363,1.000001,58.000000,2390.000000,1021967.375000,32929.625000,59648122.125000,56666.875000,59813.375000,0.000052,1022497.763209,0.032222,0.019301,0.019299,3351.355385,3352.488586,283.602856,1.697535,285.300391,0.085058,64.741827,62.748319,1.996563,0.295175,0.004249,0.746765,0.001017,1267256.968103,18241.940688,0.011038,0.000015,0.014358,0.050358,61643.532900,0.000744,82866594.277442,18225490.189928,0.219938,2900674.556190,13188617.648896,13503834.580211,30691331.213867,6750181.551825,84847162.237787,31424874.902884, 
2.668190,30.862500,33.371418,1.000001,58.000000,2390.000000,1022795.625000,32955.875000,59648937.875000,56670.250000,59816.000000,0.000052,1023326.428964,0.032221,0.019301,0.019299,3348.641536,3349.772425,280.848666,1.697535,282.546202,0.084305,64.687913,62.694380,1.996563,0.295282,0.004356,0.746791,0.001043,1267715.623735,18700.596320,0.011038,0.000015,0.014231,0.050399,61097.923960,0.000745,82066629.333156,18209823.436895,0.221891,2898181.116977,13061299.374570,13378975.862858,30395047.901169,6744379.050702,84062651.157982,31134315.243697, 
2.797921,31.462500,34.020074,1.000001,58.000000,2390.000000,1023577.625000,32777.875000,59649802.875000,56667.250000,59816.250000,0.000052,1024102.311046,0.032023,0.019103,0.019100,3346.104533,3347.246002,278.281919,1.697535,279.979454,0.083602,63.974707,61.981148,1.996563,0.295395,0.004469,0.746818,0.001070,1268201.983042,19186.955626,0.011039,0.000016,0.014113,0.050437,60588.562374,0.000746,81321107.548113,18002662.562240,0.221377,2865210.465879,12942645.991290,13255999.255795,30118928.721523,6667652.800830,83289965.735265,30848135.457505, 
2.927392,32.187500,34.667429,1.000001,58.000000,2390.000000,1024374.250000,32723.000000,59650789.250000,56667.250000,59817.375000,0.000052,1024896.774701,0.031944,0.019024,0.019022,3343.510751,3344.654984,275.644916,1.697535,277.342451,0.082879,63.662732,61.669143,1.996563,0.295524,0.004598,0.746849,0.001101,1268756.603415,19741.575999,0.011039,0.000016,0.013990,0.050476,60064.376220,0.000746,80555179.977932,17912039.536324,0.222357,2850787.374772,12820744.929011,13133868.020920,29835251.843679,6634088.717157,82522591.946859,30563922.943281, 
3.074282,32.912500,35.401882,1.000001,58.000000,2390.000000,1025308.000000,32638.000000,59651580.000000,56668.250000,59820.750000,0.000052,1025827.341178,0.031832,0.018912,0.018910,3340.477727,3341.626438,272.579504,1.697535,274.277040,0.082037,63.230865,61.237252,1.996563,0.295628,0.004702,0.746874,0.001125,1269201.239899,20186.212483,0.011040,0.000017,0.013848,0.050522,59454.304369,0.000747,79664819.453412,17786595.056725,0.223268,2830822.281576,12679039.762654,12991212.572075,29505488.686449,6587627.798787,81626260.616646,30231948.376536, 
3.240930,33.825000,36.235120,1.000001,58.000000,2390.000000,1026305.875000,32551.625000,59652984.125000,56664.000000,59822.250000,0.000052,1026821.969647,0.031717,0.018797,0.018795,3337.241982,3338.395140,269.282741,1.697535,270.980276,0.081130,62.785452,60.791797,1.996563,0.295812,0.004886,0.746918,0.001169,1269990.802649,20975.775234,0.011040,0.000017,0.013695,0.050571,58796.500113,0.000748,78707261.838672,17657210.790554,0.224340,2810230.152369,12526639.855699,12837994.375433,29150837.718027,6539707.700205,80663561.532103,29875393.160038, 
3.369361,34.600000,36.877278,1.000001,58.000000,2390.000000,1027124.375000,32350.375000,59653805.125000,56666.250000,59823.625000,0.000052,1027633.703458,0.031496,0.018576,0.018574,3334.605875,3335.770543,266.619865,1.697535,268.317400,0.080395,61.998252,60.004572,1.996563,0.295919,0.004993,0.746943,0.001195,1270452.480699,21437.453283,0.011041,0.000018,0.013571,0.050611,58264.500544,0.000748,77933819.269132,17428558.236457,0.223633,2773838.996962,12403542.745072,12709919.567404,28864377.507086,6455021.569058,79858843.142606,29577349.312076, 
3.499352,35.225000,37.527230,1.000001,58.000000,2390.000000,1027951.250000,32257.500000,59654962.500000,56665.625000,59827.625000,0.000052,1028457.251753,0.031380,0.018461,0.018458,3331.935654,3333.105140,263.900498,1.697535,265.598033,0.079644,61.563145,59.569430,1.996563,0.296071,0.005145,0.746980,0.001231,1271103.334841,22088.307425,0.011041,0.000018,0.013444,0.050652,57720.093296,0.000749,77143968.649862,17302169.613677,0.224284,2753723.638830,12277834.214292,12582853.685579,28571840.240689,6408210.968028,79060464.028434,29281653.343864, 
