 ,Label,Area,Mean,Min,Max,Angle,Length
1,cnt edited final,53.864,60.163,33.421,86.906,-68.199,22.818
2,cnt edited final,35.909,45.754,35.000,55.456,-123.690,14.124
3,cnt edited final,35.909,43.976,27.515,58.619,-81.870,15.601
4,cnt edited final,44.887,56.317,42.257,68.768,-32.005,19.211
5,cnt edited final,31.421,60.487,44.333,74.556,-38.660,13.022
6,cnt edited final,31.421,51.619,35.333,62.667,-108.435,13.399
7,cnt edited final,35.909,77.804,54.667,96.714,-51.340,15.014
8,cnt edited final,35.909,61.006,39.000,74.358,0.000,15.601
9,cnt edited final,44.887,51.721,37.333,70.111,-32.005,18.804
10,cnt edited final,26.932,40.567,33.556,49.569,-116.565,11.054
11,cnt edited final,40.398,49.249,13.500,81.000,-90.000,15.925
