Day,SR,Temp,Sample
0,0,25,1A
0,0,25,1B
0,0,25,1C
1,14.9543379,25,1A
1,18.31547619,25,1B
1,14.89542484,25,1C
4,14.9543379,25,1A
4,18.31547619,25,1B
4,14.89542484,25,1C
5,15.33333334,25,1A
5,18.16964286,25,1B
5,13.55555556,25,1C
7,15.71232877,25,1A
7,18.02380952,25,1B
7,12.21568627,25,1C
10,11.1826484,25,1A
10,16.34226191,25,1B
10,9.486928103,25,1C
14,6.652968037,25,1A
14,14.66071429,25,1B
14,6.758169935,25,1C
15,5.055532107,25,1A
15,7.479580113,25,1B
15,5.93711343,25,1C
20,1.013263753,25,1A
20,5.844671202,25,1B
20,2.352941176,25,1C
24,0.640193521,25,1A
24,5.466978458,25,1B
24,1.176470588,25,1C
25,0.456881931,25,1A
25,5.24829932,25,1B
25,0.564705882,25,1C
30,0.249315069,25,1A
30,4.75,25,1B
30,0,25,1C
0,0,-4,1A
0,0,-4,1B
0,0,-4,1C
1,13.59016393,-4,1A
1,13.81313131,-4,1B
1,13.98809524,-4,1C
4,12.74043716,-4,1A
4,14.02272727,-4,1B
4,13.69940477,-4,1C
5,10.19234972,-4,1A
5,11.21818182,-4,1B
5,10.95952381,-4,1C
7,11.89071038,-4,1A
7,14.23232323,-4,1B
7,13.41071429,-4,1C
10,11.92896175,-4,1A
10,13.35606061,-4,1B
10,13.93154762,-4,1C
14,11.96721311,-4,1A
14,12.47979798,-4,1B
14,14.45238095,-4,1C
15,11.1693989,-4,1A
15,11.64781145,-4,1B
15,13.48888889,-4,1C
20,12.82851939,-4,1A
20,11.73160173,-4,1B
20,10.56122449,-4,1C
25,10.55164389,-4,1A
25,10.57507215,-4,1B
25,9.903238378,-4,1C
28,11.19672131,-4,1A
28,11.24242424,-4,1B
28,10.68452381,-4,1C
30,10.11316763,-4,1A
30,10.1544477,-4,1B
30,9.650537635,-4,1C
