mm,microN
,
0,-165702.4
0,-120453.5
0,-58135.5
0,-14593.5
0,122445.8
0,120595.2
0,517619.6
0,-22637.6
0,26601.8
0,130848
0,30964
0,69866.2
0,74596.1
0,158351.3
0,137331.5
0,43449.7
0,135704.1
0,153001.3
0,-75151.2
0,496.9
0,-65159.5
0,-63189.5
0,-25028.7
0,247047.1
0,61990.1
0,300831
0,-23213
0,17577.7
0,-30351.6
0,136357.2
0,51136.6
0,-44418.2
0.1,-3640.1
0.1,69336.3
0.1,62498.6
0.1,273759.5
0.1,162299.1
0.1,20653
0.1,108034.7
0.1,-215720.1
0.1,269355.6
0.1,121580.2
0.1,-48962.8
0.1,-116621.2
0.1,10016.9
0.1,-31219.2
0.1,132373.5
0.1,-36096.7
0.1,176688.9
0.1,-32512.8
0.1,40361.8
0.1,-164286.6
0.1,-39491.3
0.1,10782.6
0.1,42353.1
0.1,18147.3
0.1,-122523.5
0.1,-210206.1
0.1,12542
0.1,-62256
0.1,150480.1
0.1,2454.3
0.1,-24563.9
0.1,-95016.2
0.1,48332
0.1,108993.5
0.1,218171.5
0.1,88836.4
0.1,343917.8
0.1,-136208.7
0.1,131255.5
0.1,-108408.4
0.1,172488.8
0.1,35033
0.1,74056.6
0.1,101308.6
0.1,40033.7
0.1,35016.6
0.1,94388.4
0.1,60032.7
0.1,84637.3
0.1,15136
0.1,105663
0.1,119317.1
0.1,155045
0.1,80074.3
0.1,89738
0.1,96494.2
0.1,-102588.6
0.1,-67726.4
0.1,-91199.5
0.1,46343.6
0.2,-245612.7
0.2,329694
0.2,108676.2
0.2,110031.9
0.2,116231.1
0.2,184663
0.2,25049.1
0.2,-32487.6
0.2,28678.6
0.2,94183.6
0.2,-16725.6
0.2,141758.7
0.2,27724.6
0.2,46047.6
0.2,-20726.8
0.2,35819.1
0.2,-99032.9
0.2,42779.1
0.2,106074.5
0.2,61299.1
0.2,58521.7
0.2,58078.2
0.2,185814.9
0.2,27054.1
0.2,-8494.3
0.2,32048
0.2,129512.6
0.2,137193.7
0.2,53725.8
0.2,84257.9
0.2,132785.9
0.2,62739.2
0.2,47289.8
0.2,187689.8
0.2,-141178.3
0.2,45893.3
0.2,185797.4
0.2,14681.9
0.2,65766.1
0.2,-65437.1
0.2,-54026.6
0.2,216985.6
0.2,99825.8
0.2,71654.7
0.2,25609.1
0.2,148963.2
0.2,137819.6
0.2,109924.2
0.2,46236.8
0.2,229284
0.2,55944.2
0.2,74855.2
0.2,132776.2
0.2,195207.8
0.2,47151
0.2,-14156.8
0.2,53979
0.2,95356.9
0.2,96732.9
0.2,-59770.7
0.3,16696.5
0.3,-27231.6
0.3,120049.8
0.3,-7080.4
0.3,35858.9
0.3,231351.1
0.3,194212.2
0.3,29411.3
0.3,86422
0.3,30364.2
0.3,127552.3
0.3,295366.4
0.3,217798.8
0.3,51018.2
0.3,115601.3
0.3,176712.1
0.3,51823.7
0.3,266353.1
0.3,-128446.1
0.3,227342.2
0.3,181876.8
0.3,163109.4
0.3,-94090.4
0.3,-145585.1
0.3,83641.7
0.3,366364.2
0.3,172570.3
0.3,98159.5
0.3,108008.5
0.3,21652.6
0.3,102907.9
0.3,81466.9
0.3,169831.7
0.3,50783.4
0.3,185796.5
0.3,238559.5
0.3,104033.6
