Program,xPONENT,,Unknown,,,
Build,4.2.1509.0,,,,,
Date,10/20/2022,3:21 PM,,,,
,,,,,,
SN,LX10018170422,,,,,
Batch,Neurotrophic Factors Panel 4,,,,,
Version,1,,,,,
Operator,,,,,,
ComputerName,ELPPSY-T099504,,,,,
Country Code,409,,,,,
ProtocolName,None,,,,,
ProtocolVersion,1,,,,,
ProtocolDescription,,,,,,
ProtocolDevelopingCompany,,,,,,
SampleVolume,50 uL,,,,,
DDGate,7500 to 25000,,,,,
SampleTimeout,60 sec,,,,,
BatchStartTime,10/20/2022 17:54,,,,,
BatchStopTime,10/20/2022 18:23,,,,,
BatchDescription,<None>,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1
ProtocolMicrosphere,Map,100 regions,Type,MagPlex,Count,4
ProtocolReporterGain,Default,,,,,
ProtocolAnalysis,Type,Quan,Mode,FitOfAllStandards,,
NormBead,None,,,,,
ProtocolHeater,Off,,,,,
,,,,,,
Most Recent Calibration and Verification Results:,,,,,,
Unknown,Passed 10/17/2022 14:47:10,,,,,
Unknown,Passed 10/17/2022 14:48:13,,,,,
Unknown,Passed 10/17/2022 14:50:10,,,,,
Unknown,Passed 10/17/2022 14:51:05,,,,,
Last Fluidics Test,Passed 10/17/2022 14:51:36,,,,,
,,,,,,
CALInfo:,,,,,,
,,,,,,
,,,,,,
AssayLotInfo:,,,,,,
KitName,LotNumber,ExpirationDate,Manufacturer,,,
Neurotrophic factors panel 4,EPX040-15828-901,5/1/2023,Invitrogen,,,
Reagent,LotName,LotNumber,ExpirationDate,Manufacturer,,
Standard1,Neurotrophic factors panel 4,260217,5/1/2023,Invitrogen ,,
Standard2,Neurotrophic factors panel 4,260217,5/1/2023,Invitrogen,,
Standard3,Neurotrophic factors panel 4,260217,5/1/2023,Invitrogen,,
Standard4,Neurotrophic factors panel 4,260217,5/1/2023,Invitrogen,,
Standard5,Neurotrophic factors panel 4,260217,5/1/2023,Invitrogen,,
Standard6,Neurotrophic factors panel 4,260217,5/1/2023,Invitrogen,,
Standard7,Neurotrophic factors panel 4,260217,5/1/2023,Invitrogen,,
,,,,,,
,,,,,,
Samples,78,Min Events,100,Per Bead,,
,,,,,,
Results,,,,,,
,,,,,,
DataType:,Median,,,,,
Location,Sample,CNTF,GDNF,NGF,BDNF,Total Events
"1(1,A1)",Standard1,10121.5,3981,15909,6302,235
"2(1,B1)",Standard2,5439.5,3852,15292.5,8030,246
"3(1,C1)",Standard3,1903,2619,5740.5,3066,236
"4(1,D1)",Standard4,518.5,1899,2299,659.5,276
"5(1,E1)",Standard5,178.5,632,791,186,256
"6(1,F1)",Standard6,78.5,195,226,74,230
"7(1,G1)",Standard7,56,124.5,107,64.5,227
"8(1,H1)",Background0,38,64.5,10.5,35,215
"9(1,A2)",Standard1,9198.5,3358,15796,5629.5,252
"10(1,B2)",Standard2,5550.5,3523.5,15030,7427,244
"11(1,C2)",Standard3,2018.5,3013,6062,3444,237
