POST ID,PUBLISH,TIME,DURATION (SEC),IMPRESSIONS,REACH,SHARES,PROFILE VISITS,REPLIES,STICKER TAPS,NAVIGATION,FOLLOWS
18040383478637762,04/02/2024,9:04,11,219,215,0,2,1,,210,
17948394101670131,04/02/2024,12:04,10,175,174,0,,1,,182,
17882617476028759,04/02/2024,12:04,15,167,166,0,,0,,175,
17915227472911944,04/02/2024,12:04,15,158,157,0,,0,,165,
17919849707884729,04/02/2024,14:04,15,138,134,0,,0,,143,
18068332162501204,04/02/2024,16:04,0,143,141,0,1,3,22,168,
17855445717150205,04/02/2024,18:04,15,120,115,0,1,0,,152,
18018125945330748,04/03/2024,5:04,0,117,114,0,,0,,135,
17920116437896658,04/03/2024,9:04,3,117,114,0,1,0,,126,
18102801172384337,04/03/2024,10:04,0,113,113,0,,0,,123,
18274686466201550,04/03/2024,13:04,0,109,106,0,,2,,125,
18072820480484734,04/03/2024,18:04,0,105,104,0,1,0,,115,1
18060056551539104,04/04/2024,7:04,0,117,115,0,,1,,133,
17942302997798117,04/04/2024,11:04,29,122,120,0,,0,,123,
18010500371515299,04/04/2024,11:04,9,121,119,1,,0,,128,
18063746794470480,04/04/2024,12:04,0,113,112,0,,0,,136,
18291334174088978,04/04/2024,12:04,0,107,105,0,,0,,123,
17893202033996014,04/04/2024,14:04,0,100,97,0,2,0,,114,
18231997873265943,04/04/2024,16:04,0,94,92,0,1,0,,111,
17856674028139746,04/05/2024,6:04,10,59,58,0,1,1,,65,
18031402372754609,04/05/2024,7:04,15,56,56,0,1,1,4,61,
17867730645049615,04/05/2024,9:04,5,44,44,0,1,0,,44,
17859427647115919,04/05/2024,9:04,0,33,32,0,,0,,43,
