probeset_id	array_01.cel	array_02.cel	array_03.cel	array_04.cel	array_05.cel	array_06.cel	array_07.cel	array_08.cel	array_09.cel	array_10.cel	array_11.cel	array_12.cel	array_13.cel	array_14.cel	array_15.cel	array_16.cel	array_17.cel	array_18.cel
AFFX-BioB-5_at	10.21852	10.34739	10.51147	10.30621	10.35873	10.31188	10.42904	10.78338	10.14320	10.45555	10.29380	10.19839	10.61215	10.47290	10.24361	10.33508	10.21188	10.21093
AFFX-BioB-M_at	10.97853	11.01342	11.20661	10.77332	11.13263	11.00569	11.18318	11.49113	10.91572	11.17450	11.00535	10.97528	11.12493	11.24419	10.97119	11.12473	10.79336	10.83437
AFFX-BioB-3_at	11.14977	11.21061	11.41905	11.09722	11.32510	11.19522	11.33959	11.63534	11.08299	11.41259	11.24473	11.16830	11.34038	11.46087	11.08011	11.29796	11.05482	10.99087
AFFX-BioC-5_at	12.01040	11.97907	12.16945	11.85237	12.06407	11.96748	12.08760	12.47706	11.83747	12.15417	12.01020	12.01516	12.26111	12.28781	11.96906	12.17299	11.97635	11.90160
AFFX-BioC-3_at	10.93605	10.95737	11.17430	10.77046	11.04786	10.90926	11.13002	11.33697	10.79901	11.14440	10.95904	10.98590	11.16842	11.23127	10.94640	11.09812	10.88538	10.81377
AFFX-BioDn-5_at	12.94295	12.83339	13.00532	12.62278	12.93125	12.77462	12.90796	13.24596	12.75895	13.03806	12.85251	12.98690	12.99421	13.09847	12.95622	13.05750	12.86457	12.75767
AFFX-BioDn-3_at	14.06694	14.08281	14.12249	13.98804	14.12996	14.08921	14.13991	14.12257	14.03573	14.13669	14.10574	14.07559	14.11459	14.17674	14.08173	14.16462	13.92451	13.93598
AFFX-CreX-5_at	14.98419	14.83865	14.87702	14.74016	14.92019	14.83321	14.86663	14.95779	14.84620	14.90448	14.86474	14.93765	14.83749	14.88268	14.86793	14.86293	14.80400	14.81891
AFFX-CreX-3_at	15.11921	15.11727	15.11296	15.00225	15.11440	15.08468	15.12108	15.20770	15.09993	15.12174	15.09056	15.16582	15.07006	15.09354	15.04454	15.06125	14.98864	15.05496
AFFX-DapX-5_st	0.57200	0.72588	0.58811	0.83678	0.54627	0.62546	0.70071	0.81387	0.76464	0.70285	0.65882	0.70594	0.57959	0.79563	0.96136	0.63123	0.74193	0.97209
AFFX-DapX-M_st	0.30359	0.47238	0.55249	0.63102	0.49748	0.43422	0.72381	0.67277	0.78596	0.67771	0.51634	0.68393	0.74966	0.44613	0.48090	0.58204	0.35730	0.57585
AFFX-DapX-3_st	0.63950	0.85964	0.94175	1.10057	0.72846	1.09533	0.66993	1.11488	0.57146	0.55051	1.10067	0.74488	0.87102	0.92310	0.71378	0.86715	0.81314	0.71543
AFFX-LysX-5_st	0.80410	0.86190	0.87045	0.69399	0.45275	0.87232	0.90287	1.26677	0.97812	0.89153	0.94893	0.90662	0.97377	0.92044	0.83526	0.73564	0.72625	0.77268
AFFX-LysX-M_st	0.70224	0.91225	0.58313	0.82483	0.57715	1.07731	0.67404	0.92593	1.00269	0.77527	1.26351	0.89802	0.51112	0.69330	0.70862	0.52560	1.00394	0.50392
AFFX-LysX-3_st	0.42236	0.68644	0.66142	0.42035	0.87373	1.01314	0.70128	1.16804	0.89015	0.31146	0.67500	0.64842	0.68929	0.47318	0.81441	0.60488	0.61876	0.72731
AFFX-PheX-5_st	0.94916	0.61826	0.64379	0.62876	0.64397	0.51295	0.58859	0.93053	0.77262	0.52513	0.60612	0.78713	0.74400	0.65010	0.56960	0.59276	0.77472	0.58560
AFFX-PheX-M_st	0.68240	0.83558	0.58882	0.58296	0.71333	0.53322	0.57601	0.60734	0.96743	0.68431	0.53871	0.59886	0.57933	0.64345	0.95337	0.65501	0.85533	0.83577
AFFX-PheX-3_st	0.60337	0.76574	0.95918	0.80226	0.85010	0.64195	0.96945	1.37771	0.59061	0.63826	0.71289	0.63826	0.71991	0.56969	0.90535	1.27748	1.32869	0.93404
AFFX-ThrX-5_st	0.60010	0.50567	0.62378	0.74598	0.53823	0.30934	0.92500	0.74547	0.32327	0.60737	0.53690	0.50083	0.53384	0.44885	0.73633	0.53204	0.70888	0.58002
AFFX-ThrX-M_st	0.53707	0.52210	0.58198	0.52997	0.44191	0.59544	0.24757	0.64214	0.54556	0.49460	0.57477	0.62837	0.72996	0.57257	0.94907	0.51950	0.59969	0.53745
AFFX-ThrX-3_st	0.49315	0.86754	0.79926	0.58760	0.80442	0.67783	0.51832	0.53877	0.57864	0.39458	0.42422	0.93314	0.50829	0.69783	0.42279	0.80669	0.56686	0.54620
AFFX-TrpnX-5_st	0.83294	0.91326	0.61688	0.70579	1.13743	1.16365	0.72064	1.04707	0.73794	0.69738	0.64498	0.44598	0.73091	0.83236	0.60842	0.71476	0.76547	0.60961
AFFX-TrpnX-M_st	0.51998	0.77519	0.78591	0.94112	1.10009	0.72820	0.71425	0.89646	0.96489	0.79052	1.18110	0.72040	0.71943	0.75549	0.97444	0.88240	1.02180	0.53024
AFFX-TrpnX-3_st	0.59410	0.79096	0.62821	0.57720	0.50589	0.64997	0.52330	0.50990	0.45033	0.51478	0.57920	0.58933	0.66672	0.54874	0.61163	0.58054	0.63462	0.81488
AFFX-r2-Ec-bioB-5_st	1.22801	1.31281	1.14916	1.09819	0.90120	1.05704	0.89517	1.40690	1.23309	0.85060	1.89071	0.57867	1.19741	0.71998	1.65089	1.00965	0.89616	1.10276
AFFX-r2-Ec-bioB-M_st	2.21595	2.00363	1.84160	2.26884	2.47678	1.56777	2.07462	2.41173	1.23728	1.56868	1.93015	1.92847	1.95823	1.99809	2.50031	1.52697	1.96553	1.85098
AFFX-r2-Ec-bioB-3_st	3.19694	2.83232	3.43353	3.16980	3.29722	3.23357	3.25057	3.81201	3.46648	3.13959	3.29722	3.46765	2.93729	3.23450	3.04407	3.07461	3.08983	3.48247
AFFX-r2-Ec-bioC-5_st	3.50101	2.85803	2.93881	2.99155	2.85354	2.83960	2.82168	3.38787	2.93603	2.95618	2.42430	3.22314	2.93883	3.09349	2.62041	2.66693	2.68911	2.59723
AFFX-r2-Ec-bioC-3_st	1.50298	1.76885	1.80061	1.64039	1.65041	1.21119	2.00694	2.31281	2.31787	2.28953	2.13237	1.99003	2.22110	1.33316	1.18598	1.42589	2.01330	1.12286
AFFX-r2-Ec-bioD-5_st	4.19514	4.22519	4.39309	4.08841	4.24637	4.17232	4.09912	4.58192	4.45315	4.13778	4.09104	4.07004	4.09100	4.34954	4.00005	3.98794	4.43379	4.21761
AFFX-r2-Ec-bioD-3_st	4.47686	4.80841	4.94461	4.71818	5.08001	4.72817	5.01942	5.25399	4.86583	4.93856	4.57431	4.74948	4.84766	5.01490	4.65175	4.80775	4.59187	4.65320
AFFX-r2-P1-cre-5_st	5.86850	5.95274	6.09084	5.83445	6.14627	5.82769	6.01413	6.31280	6.16143	6.23001	5.90669	5.96841	5.97181	6.06249	5.80751	6.04298	5.84276	5.86442
AFFX-r2-P1-cre-3_st	4.86356	5.06106	5.33394	4.99872	5.07936	5.06913	5.20647	5.43339	4.76980	5.45583	5.27465	4.53106	4.44312	5.12564	4.80475	5.18720	4.95665	4.83305
AFFX-r2-Bs-dap-5_st	0.55675	0.42555	0.78468	0.29873	0.64895	1.40410	0.88293	0.50391	0.89922	0.97742	0.71470	1.11427	0.78947	1.20688	0.55155	0.67204	0.63884	0.73019
AFFX-r2-Bs-dap-M_st	0.47603	0.68978	0.58340	0.68978	0.71953	1.09532	0.85832	0.82943	0.68978	0.34565	0.75783	0.64842	0.55029	0.73356	0.78275	1.10568	0.49229	0.87316
AFFX-r2-Bs-dap-3_st	0.66862	0.94141	0.85021	0.51863	0.69957	0.37902	0.75823	0.67131	0.94420	0.52330	0.65783	0.61502	1.12540	0.80423	0.72039	0.49777	0.62718	0.90989
AFFX-r2-Bs-lys-5_st	0.55043	0.67698	0.42490	0.33658	0.55868	0.51753	0.28964	0.41568	0.51753	0.94718	0.56043	0.95093	0.80215	0.88089	0.71353	0.76594	0.65297	0.47514
AFFX-r2-Bs-lys-M_st	0.61431	0.59576	0.96838	0.55295	0.66110	0.52028	0.71745	0.63500	0.61188	0.65783	0.69446	0.38486	0.69809	0.98736	0.77884	0.75933	1.59047	0.44850
AFFX-r2-Bs-lys-3_st	0.63640	0.62449	0.63245	0.57457	0.92152	0.35096	0.64593	0.66051	0.82500	0.40289	0.80752	0.71316	0.59041	0.39441	0.57388	0.84932	0.71920	0.64593
AFFX-r2-Bs-phe-5_st	0.86236	0.95777	0.76631	0.39408	0.50375	0.49709	0.31283	0.66834	1.56702	0.41270	0.82767	0.63005	1.31235	0.70332	0.63882	0.49709	0.72659	0.74967
AFFX-r2-Bs-phe-M_st	0.69779	0.71275	0.58431	0.53410	0.30592	0.69945	0.38607	0.56044	0.19723	0.64094	0.36863	0.60824	0.92500	0.59882	0.44632	0.99639	0.94198	0.80109
AFFX-r2-Bs-phe-3_st	0.36965	0.54017	0.46606	0.55320	0.75244	0.97920	0.46606	0.75244	0.41816	0.36856	0.69090	0.37918	0.51399	0.78468	0.45790	0.80555	0.41229	0.95864
AFFX-r2-Bs-thr-5_s_st	0.59773	1.38224	0.56210	0.97827	0.67541	0.38060	0.80441	1.04580	0.53316	0.58828	0.38472	0.71654	0.58759	1.12286	0.57234	0.54555	0.78378	0.53051
AFFX-r2-Bs-thr-M_s_st	0.76388	0.67681	0.97411	0.91108	1.18912	1.94510	0.63291	0.88428	0.56299	0.46489	0.36574	0.85216	0.78514	0.53424	0.51254	0.81996	1.05843	0.85778
