"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Shares,"Profile visits",Replies,"Sticker taps",Navigation,Follows
17948394101670131,17841401571070382,fabzy4l,f4L,,10,"04/02/2024 12:04",,"IG story",,Lifetime,175,174,0,,1,,182,
17882617476028759,17841401571070382,fabzy4l,f4L,,15,"04/02/2024 12:04",,"IG story",,Lifetime,167,166,0,,0,,175,
17915227472911944,17841401571070382,fabzy4l,f4L,,15,"04/02/2024 12:04",,"IG story",,Lifetime,158,157,0,,0,,165,
17919849707884729,17841401571070382,fabzy4l,f4L,,15,"04/02/2024 14:04",,"IG story",,Lifetime,138,134,0,,0,,143,
18068332162501204,17841401571070382,fabzy4l,f4L,,0,"04/02/2024 16:04",,"IG story",,Lifetime,143,141,0,1,3,22,168,
17855445717150205,17841401571070382,fabzy4l,f4L,,15,"04/02/2024 18:04",,"IG story",,Lifetime,120,115,0,1,0,,152,
18018125945330748,17841401571070382,fabzy4l,f4L,,0,"04/03/2024 05:04",,"IG story",,Lifetime,117,114,0,,0,,135,
17920116437896658,17841401571070382,fabzy4l,f4L,,3,"04/03/2024 09:04",,"IG story",,Lifetime,117,114,0,1,0,,126,
18102801172384337,17841401571070382,fabzy4l,f4L,,0,"04/03/2024 10:04",,"IG story",,Lifetime,113,113,0,,0,,123,
18274686466201550,17841401571070382,fabzy4l,f4L,,0,"04/03/2024 13:04",,"IG story",,Lifetime,109,106,0,,2,,125,
18072820480484734,17841401571070382,fabzy4l,f4L,,0,"04/03/2024 18:04",,"IG story",,Lifetime,105,104,0,1,0,,115,1
18060056551539104,17841401571070382,fabzy4l,f4L,,0,"04/04/2024 07:04",,"IG story",,Lifetime,117,115,0,,1,,133,
17942302997798117,17841401571070382,fabzy4l,f4L,,29,"04/04/2024 11:04",,"IG story",,Lifetime,122,120,0,,0,,123,
18010500371515299,17841401571070382,fabzy4l,f4L,,9,"04/04/2024 11:04",,"IG story",,Lifetime,121,119,1,,0,,128,
18063746794470480,17841401571070382,fabzy4l,f4L,,0,"04/04/2024 12:04",,"IG story",,Lifetime,113,112,0,,0,,136,
18291334174088978,17841401571070382,fabzy4l,f4L,,0,"04/04/2024 12:04",,"IG story",,Lifetime,107,105,0,,0,,123,
17893202033996014,17841401571070382,fabzy4l,f4L,,0,"04/04/2024 14:04",,"IG story",,Lifetime,100,97,0,2,0,,114,
18231997873265943,17841401571070382,fabzy4l,f4L,,0,"04/04/2024 16:04",,"IG story",,Lifetime,94,92,0,1,0,,111,
17856674028139746,17841401571070382,fabzy4l,f4L,,10,"04/05/2024 06:04",,"IG story",,Lifetime,59,58,0,1,1,,65,
18031402372754609,17841401571070382,fabzy4l,f4L,,15,"04/05/2024 07:04",,"IG story",,Lifetime,56,56,0,1,1,4,61,
17867730645049615,17841401571070382,fabzy4l,f4L,,5,"04/05/2024 09:04",,"IG story",,Lifetime,44,44,0,1,0,,44,
17859427647115919,17841401571070382,fabzy4l,f4L,,0,"04/05/2024 09:04",,"IG story",,Lifetime,33,32,0,,0,,43,
18040383478637762,17841401571070382,fabzy4l,f4L,,11,"04/02/2024 09:04",,"IG story",,Lifetime,219,215,0,2,1,,210,
